team,opponent,##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
Loyola Maryland 40,Toledo 62,13,"13 Tañedo, Caramina",*,30,1-5,1-3,0-0,0-2,2,1,0,2,0,0,3
Loyola Maryland 40,Toledo 62,12,"12 Garcia, Cristina",*,22,1-6,0-1,1-2,3-1,4,2,2,1,0,2,3
Loyola Maryland 40,Toledo 62,02,"02 Van-Otoo, Meliah",,22,1-3,0-1,3-4,0-0,0,2,0,2,0,0,5
Loyola Maryland 40,Toledo 62,01,"01 Ratigan, Kelly",,17,1-5,1-3,0-0,0-2,2,1,1,2,0,0,3
Loyola Maryland 40,Toledo 62,23,"23 Espinal, Marta",,10,0-0,0-0,0-0,0-1,1,0,0,0,0,0,0
Loyola Maryland 40,Toledo 62,11,"11 Glezen, Emma",,9,0-0,0-0,0-0,0-0,0,3,0,1,0,0,0
Loyola Maryland 40,Toledo 62,TM,TM TEAM,,0,0-0,0-0,0-0,1-1,2,0,0,2,0,0,0
Loyola Maryland 66,Mount St. Mary's 73,04,"04 Dixon, Taleah",*,34,7-12,3-4,1-2,0-0,0,3,4,3,0,1,18
Loyola Maryland 66,Mount St. Mary's 73,45,"45 Therien, Lex",*,35,8-14,0-0,0-0,3-7,10,0,3,4,1,1,16
Loyola Maryland 66,Mount St. Mary's 73,22,"22 Rozzi, Bri",*,32,5-10,2-6,0-0,0-3,3,4,4,6,0,0,12
Loyola Maryland 66,Mount St. Mary's 73,10,"10 Sims, Koi",*,29,4-7,0-0,3-5,4-3,7,0,3,3,0,0,11
Loyola Maryland 66,Mount St. Mary's 73,13,"13 Tañedo, Caramina",*,32,2-3,2-3,0-0,0-2,2,2,1,1,0,1,6
Loyola Maryland 66,Mount St. Mary's 73,02,"02 Van-Otoo, Meliah",,20,1-1,0-0,1-2,0-1,1,3,2,3,0,1,3
Loyola Maryland 66,Mount St. Mary's 73,01,"01 Ratigan, Kelly",,5,0-1,0-0,0-0,0-0,0,0,0,1,0,0,0
Loyola Maryland 66,Mount St. Mary's 73,11,"11 Glezen, Emma",,5,0-2,0-0,0-0,0-0,0,0,0,1,0,0,0
Loyola Maryland 66,Mount St. Mary's 73,23,"23 Espinal, Marta",,5,0-0,0-0,0-0,0-1,1,2,0,0,0,0,0
Loyola Maryland 66,Mount St. Mary's 73,12,"12 Garcia, Cristina",,3,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
Loyola Maryland 66,Mount St. Mary's 73,TM,TM TEAM,,0,0-0,0-0,0-0,2-4,6,0,0,1,0,0,0
Mount St. Mary's 73,Loyola Maryland 66,10,"10 Harrison,Michaela",*,34,6-16,3-10,4-4,0-1,1,2,1,4,0,0,19
Mount St. Mary's 73,Loyola Maryland 66,43,"43 Villaflor,Natalie",*,33,6-9,0-0,2-2,1-2,3,1,3,2,1,3,14
Mount St. Mary's 73,Loyola Maryland 66,22,"22 Tomasetti,Jessica",*,36,5-9,0-2,3-3,1-5,6,2,3,0,0,1,13
Mount St. Mary's 73,Loyola Maryland 66,00,"00 Hunt,Isabella",*,35,4-8,0-0,2-2,5-2,7,4,3,2,0,7,10
Mount St. Mary's 73,Loyola Maryland 66,04,"04 Raflo,Jo",*,29,4-12,1-5,1-2,1-1,2,2,2,1,1,0,10
Mount St. Mary's 73,Loyola Maryland 66,15,"15 Lindsay-Huskey,Jasmine",,20,1-4,1-2,2-2,1-0,1,3,0,0,0,0,5
Mount St. Mary's 73,Loyola Maryland 66,25,"25 Dunham,Carissa",,7,1-1,0-0,0-0,0-0,0,2,0,0,0,0,2
Mount St. Mary's 73,Loyola Maryland 66,03,"03 Matheny,McKenzie",,6,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0
Mount St. Mary's 73,Loyola Maryland 66,TM,TM TEAM,,0,0-0,0-0,0-0,2-3,5,0,0,0,0,0,0
Loyola Maryland 42,Pittsburgh 78,04,"04 Dixon, Taleah",*,25,3-17,3-10,7-8,1-1,2,2,1,4,0,3,16
Loyola Maryland 42,Pittsburgh 78,01,"01 Ratigan, Kelly",*,30,2-13,2-9,2-2,0-1,1,1,0,3,0,1,8
Loyola Maryland 42,Pittsburgh 78,45,"45 Therien, Lex",*,25,2-9,0-0,3-4,4-4,8,4,0,3,0,1,7
Loyola Maryland 42,Pittsburgh 78,10,"10 Sims, Koi",*,26,2-6,0-0,1-2,5-5,10,0,1,2,1,2,5
Loyola Maryland 42,Pittsburgh 78,22,"22 Rozzi, Bri",*,17,0-3,0-1,0-0,0-1,1,1,1,1,0,0,0
Loyola Maryland 42,Pittsburgh 78,02,"02 Van-Otoo, Meliah",,15,1-2,1-1,1-2,3-1,4,1,1,4,0,1,4
Loyola Maryland 42,Pittsburgh 78,12,"12 Garcia, Cristina",,18,0-3,0-0,1-2,3-0,3,3,0,1,0,1,1
Loyola Maryland 42,Pittsburgh 78,35,"35 Therien, Ava",,5,0-0,0-0,1-2,1-0,1,0,0,1,0,0,1
Loyola Maryland 42,Pittsburgh 78,23,"23 Espinal, Marta",,21,0-1,0-0,0-0,0-3,3,1,3,2,0,1,0
Loyola Maryland 42,Pittsburgh 78,13,"13 Tañedo, Caramina",,16,0-2,0-2,0-0,2-1,3,2,1,0,0,1,0
Loyola Maryland 42,Pittsburgh 78,21,"21 Orza, Caroline",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
Loyola Maryland 42,Pittsburgh 78,TM,TM TEAM,,0,0-0,0-0,0-0,2-1,3,0,0,2,0,0,0
Pittsburgh 78,Loyola Maryland 42,01,"01 Harris,Dayshanette",*,16,4-5,1-1,1-2,0-2,2,1,1,2,0,4,10
Pittsburgh 78,Loyola Maryland 42,02,"02 King,Liatu",*,17,3-8,0-0,3-6,2-2,4,3,0,0,0,1,9
Pittsburgh 78,Loyola Maryland 42,04,"04 Hayford,Emy",*,10,3-3,1-1,0-0,1-1,2,4,3,2,0,0,7
Pittsburgh 78,Loyola Maryland 42,05,"05 Brown,Amber",*,23,2-4,0-0,0-0,0-2,2,0,0,0,0,2,4
Pittsburgh 78,Loyola Maryland 42,11,"11 Washenitz,Marley",*,25,1-6,0-4,0-0,1-3,4,3,5,4,2,1,2
Pittsburgh 78,Loyola Maryland 42,23,"23 Strickland,Avery",,21,7-8,3-4,0-0,1-1,2,3,1,1,0,2,17
Pittsburgh 78,Loyola Maryland 42,22,"22 Hutcherson,Gabby",,22,5-9,2-3,0-0,1-4,5,2,2,2,1,0,12
Pittsburgh 78,Loyola Maryland 42,03,"03 Exanor,Taisha",,19,3-4,0-1,0-0,2-2,4,3,0,2,0,1,6
Pittsburgh 78,Loyola Maryland 42,21,"21 Johnson,Maliyah",,14,2-6,1-3,0-0,0-0,0,1,3,2,0,1,5
Pittsburgh 78,Loyola Maryland 42,13,"13 Strother,Destiny",,6,1-2,1-1,0-0,0-0,0,0,0,0,0,1,3
Pittsburgh 78,Loyola Maryland 42,00,"00 Clesca,Sandrine",,5,1-1,0-0,1-1,1-1,2,1,1,0,0,0,3
Pittsburgh 78,Loyola Maryland 42,12,"12 Malcolm,Aislin",,12,0-2,0-2,0-0,0-4,4,2,1,1,0,0,0
Pittsburgh 78,Loyola Maryland 42,10,"10 Lewis,Channise",,10,0-1,0-1,0-0,0-0,0,0,2,2,0,0,0
Pittsburgh 78,Loyola Maryland 42,TM,TM TEAM,,0,0-0,0-0,0-0,2-4,6,0,0,0,0,0,0
Hofstra 61,Loyola Maryland 62,04,"04 Nicholson,Rosi",*,36,6-6,1-1,4-4,2-4,6,1,3,5,1,1,17
Hofstra 61,Loyola Maryland 62,13,"13 Swint,Zyheima",*,36,7-9,0-0,0-2,2-7,9,4,0,4,3,0,14
Hofstra 61,Loyola Maryland 62,15,"15 Thomas,Brandy",*,34,2-11,0-3,4-4,1-7,8,3,4,5,0,1,8
Hofstra 61,Loyola Maryland 62,22,"22 Knights,Ally",*,35,1-10,0-6,2-2,0-2,2,4,3,3,1,4,4
Hofstra 61,Loyola Maryland 62,02,"02 Von Essen,Emma",*,16,0-3,0-2,0-0,0-0,0,0,2,2,0,2,0
Hofstra 61,Loyola Maryland 62,03,"03 Ineza,Sorelle",,33,4-8,3-6,2-2,0-4,4,1,2,1,0,0,13
Hofstra 61,Loyola Maryland 62,12,"12 Fargo,Janaia",,21,0-0,0-0,3-4,0-4,4,3,0,1,0,0,3
Hofstra 61,Loyola Maryland 62,25,"25 Ross-Barnes,Zaniyyah",,7,1-2,0-0,0-0,0-0,0,2,0,1,1,0,2
Hofstra 61,Loyola Maryland 62,10,"10 Gooden,Alarice",,4,0-0,0-0,0-0,0-1,1,3,1,0,0,0,0
Hofstra 61,Loyola Maryland 62,05,"05 Peacock,Jada",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
Hofstra 61,Loyola Maryland 62,00,"00 Joseph-Bernard,Kayley",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
Hofstra 61,Loyola Maryland 62,TM,TM TEAM,,0,0-0,0-0,0-0,1-3,4,0,0,1,0,0,0
Loyola Maryland 62,Hofstra 61,04,"04 Dixon, Taleah",*,41,5-18,3-6,8-8,0-3,3,4,2,1,0,1,21
Loyola Maryland 62,Hofstra 61,22,"22 Rozzi, Bri",*,40,3-9,1-4,4-5,0-3,3,2,4,3,0,3,11
Loyola Maryland 62,Hofstra 61,45,"45 Therien, Lex",*,32,4-12,0-1,1-5,5-3,8,4,2,2,0,4,9
Loyola Maryland 62,Hofstra 61,01,"01 Ratigan, Kelly",*,26,3-7,1-4,0-0,0-2,2,2,0,0,0,0,7
Loyola Maryland 62,Hofstra 61,10,"10 Sims, Koi",*,29,2-8,0-1,0-0,2-3,5,3,1,1,1,2,4
Loyola Maryland 62,Hofstra 61,13,"13 Tañedo, Caramina",,26,2-3,0-1,0-2,3-2,5,0,0,1,0,3,4
Loyola Maryland 62,Hofstra 61,02,"02 Van-Otoo, Meliah",,6,0-0,0-0,3-3,0-1,1,1,1,0,0,0,3
Loyola Maryland 62,Hofstra 61,15,"15 Salmerón, Laura",,13,0-3,0-3,2-2,0-3,3,1,0,2,0,1,2
Loyola Maryland 62,Hofstra 61,23,"23 Espinal, Marta",,11,0-1,0-1,1-2,1-0,1,2,1,2,0,0,1
Loyola Maryland 62,Hofstra 61,12,"12 Garcia, Cristina",,1,0-0,0-0,0-0,0-0,0,1,0,1,0,0,0
Loyola Maryland 62,Hofstra 61,35,"35 Therien, Ava",,0+,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
Loyola Maryland 62,Hofstra 61,TM,TM TEAM,,0,0-0,0-0,0-0,1-3,4,0,0,3,0,0,0
Loyola Maryland 61,Colgate 56,45,"45 Therien, Lex",*,35,7-10,1-1,3-5,2-8,10,2,1,2,0,1,18
Loyola Maryland 61,Colgate 56,04,"04 Dixon, Taleah",*,39,4-12,0-3,4-4,0-0,0,1,4,3,0,4,12
Loyola Maryland 61,Colgate 56,10,"10 Sims, Koi",*,31,5-7,0-0,1-1,4-6,10,1,0,1,1,1,11
Loyola Maryland 61,Colgate 56,01,"01 Ratigan, Kelly",*,35,1-5,1-4,0-0,0-0,0,3,3,0,0,1,3
Loyola Maryland 61,Colgate 56,15,"15 Salmerón, Laura",*,29,0-3,0-3,0-0,0-2,2,1,4,4,0,0,0
Loyola Maryland 61,Colgate 56,05,"05 Newman, Devyne",,27,7-11,0-1,0-0,2-2,4,0,3,1,0,0,14
Loyola Maryland 61,Colgate 56,12,"12 Garcia, Cristina",,8,1-2,0-0,0-0,0-1,1,0,0,1,0,0,2
Loyola Maryland 61,Colgate 56,02,"02 Van-Otoo, Meliah",,11,0-1,0-1,1-2,0-0,0,2,0,2,0,0,1
Loyola Maryland 61,Colgate 56,11,"11 Glezen, Emma",,7,0-1,0-1,0-0,0-2,2,1,0,0,0,0,0
Loyola Maryland 61,Colgate 56,23,"23 Espinal, Marta",,3,0-0,0-0,0-0,0-1,1,0,0,0,0,0,0
Loyola Maryland 61,Colgate 56,TM,TM TEAM,,0,0-0,0-0,0-0,1-1,2,0,0,0,0,0,0
Colgate 56,Loyola Maryland 61,03,"03 Brodie,Alexa",*,39,5-9,1-3,2-3,1-0,1,2,3,2,0,1,13
Colgate 56,Loyola Maryland 61,20,"20 Paul,Jenna",*,23,5-9,3-7,0-0,0-0,0,0,1,1,0,0,13
Colgate 56,Loyola Maryland 61,11,"11 McMillan,Tiasia",*,34,6-8,0-0,0-0,4-3,7,2,0,5,0,0,12
Colgate 56,Loyola Maryland 61,05,"05 Golembiewski,Taylor",*,28,1-8,0-5,0-0,1-0,1,4,7,2,0,1,2
Colgate 56,Loyola Maryland 61,04,"04 Schiller,Madison",*,36,0-3,0-1,0-0,1-1,2,3,1,1,0,2,0
Colgate 56,Loyola Maryland 61,13,"13 Diehl,Sophia",,20,4-10,1-5,2-2,1-4,5,2,0,2,0,1,11
Colgate 56,Loyola Maryland 61,01,"01 McMahon,Morgan",,26,1-9,1-2,0-0,1-1,2,3,3,1,0,0,3
Colgate 56,Loyola Maryland 61,14,"14 Parks,Nicole",,4,1-1,0-0,0-0,2-1,3,1,0,0,0,0,2
Colgate 56,Loyola Maryland 61,02,"02 Midgette,Christina",,8,0-2,0-0,0-0,1-1,2,0,1,1,1,0,0
Colgate 56,Loyola Maryland 61,41,"41 Ferguson,Abbey",,7,0-1,0-0,0-0,0-1,1,0,0,0,0,0,0
Colgate 56,Loyola Maryland 61,TM,TM TEAM,,0,0-0,0-0,0-0,2-7,9,0,0,1,0,0,0
American 52,Loyola Maryland 37,44,"44 Johns,Emily",*,36,7-12,0-1,0-3,1-4,5,3,2,2,1,0,14
American 52,Loyola Maryland 37,15,"15 DeRubbo,Riley",*,25,1-9,1-3,6-6,1-1,2,2,1,4,0,3,9
American 52,Loyola Maryland 37,05,"05 Stetson,Sadie",*,30,3-6,2-4,0-0,0-2,2,1,2,0,1,1,8
American 52,Loyola Maryland 37,23,"23 Stack,Lauren",*,32,2-6,0-0,3-5,0-4,4,5,0,5,0,3,7
American 52,Loyola Maryland 37,02,"02 Bales,Ivy",*,27,2-3,0-1,0-0,1-7,8,3,4,5,1,4,4
American 52,Loyola Maryland 37,13,"13 Henning,Kayla",,27,3-6,0-0,2-2,0-0,0,1,3,1,0,0,8
American 52,Loyola Maryland 37,55,"55 Lavin,Molly",,10,1-1,0-0,0-0,1-0,1,1,0,1,1,0,2
American 52,Loyola Maryland 37,03,"03 Garbee,Bailey",,6,0-0,0-0,0-0,1-0,1,0,0,1,0,0,0
American 52,Loyola Maryland 37,10,"10 LeMaster,Anna",,6,0-1,0-1,0-0,0-1,1,0,0,0,0,0,0
American 52,Loyola Maryland 37,01,"01 Rescifina,Anna",,1,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0
American 52,Loyola Maryland 37,TM,TM TEAM,,0,0-0,0-0,0-0,2-3,5,0,0,0,0,0,0
Loyola Maryland 37,American 52,10,"10 Sims, Koi",*,28,4-8,0-0,0-0,6-5,11,0,1,4,2,0,8
Loyola Maryland 37,American 52,01,"01 Ratigan, Kelly",*,32,2-6,2-6,0-0,1-2,3,3,0,3,1,1,6
Loyola Maryland 37,American 52,04,"04 Dixon, Taleah",*,28,2-11,1-5,1-2,0-3,3,4,1,3,1,2,6
Loyola Maryland 37,American 52,45,"45 Therien, Lex",*,20,2-7,0-0,0-0,3-3,6,4,0,3,0,2,4
Loyola Maryland 37,American 52,15,"15 Salmerón, Laura",*,20,1-4,1-2,0-0,0-0,0,0,3,3,0,0,3
Loyola Maryland 37,American 52,05,"05 Newman, Devyne",,25,4-11,0-1,0-0,0-5,5,0,1,2,0,2,8
Loyola Maryland 37,American 52,23,"23 Espinal, Marta",,12,1-2,0-1,0-2,0-0,0,2,1,0,0,1,2
Loyola Maryland 37,American 52,13,"13 Tañedo, Caramina",,16,0-2,0-2,0-0,0-1,1,0,0,1,0,1,0
Loyola Maryland 37,American 52,02,"02 Van-Otoo, Meliah",,12,0-0,0-0,0-0,1-1,2,2,3,2,0,0,0
Loyola Maryland 37,American 52,12,"12 Garcia, Cristina",,4,0-0,0-0,0-0,0-1,1,0,0,2,0,1,0
Loyola Maryland 37,American 52,11,"11 Glezen, Emma",,3,0-1,0-0,0-0,1-0,1,0,0,0,0,0,0
Loyola Maryland 37,American 52,TM,TM TEAM,,0,0-0,0-0,0-0,2-0,2,0,0,1,0,0,0
Loyola Maryland 67,Army West Point 48,04,"04 Dixon, Taleah",*,33,8-12,2-3,2-2,0-3,3,1,4,3,0,0,20
Loyola Maryland 67,Army West Point 48,45,"45 Therien, Lex",*,36,7-13,0-0,1-4,2-5,7,1,2,7,0,0,15
Loyola Maryland 67,Army West Point 48,10,"10 Sims, Koi",*,28,6-8,0-0,2-3,2-3,5,1,3,1,1,0,14
Loyola Maryland 67,Army West Point 48,15,"15 Salmerón, Laura",*,26,2-6,1-2,0-0,0-3,3,2,0,2,0,2,5
Loyola Maryland 67,Army West Point 48,01,"01 Ratigan, Kelly",*,28,1-1,0-0,0-0,1-1,2,2,1,1,0,0,2
Loyola Maryland 67,Army West Point 48,13,"13 Tañedo, Caramina",,23,1-2,1-2,2-2,0-1,1,1,2,1,0,1,5
Loyola Maryland 67,Army West Point 48,05,"05 Newman, Devyne",,17,2-3,0-0,0-0,1-1,2,2,2,1,0,0,4
Loyola Maryland 67,Army West Point 48,02,"02 Van-Otoo, Meliah",,7,1-1,0-0,0-0,0-0,0,2,1,0,0,0,2
Loyola Maryland 67,Army West Point 48,12,"12 Garcia, Cristina",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
Loyola Maryland 67,Army West Point 48,TM,TM TEAM,,0,0-0,0-0,0-0,1-9,10,0,0,1,0,0,0
Army West Point 48,Loyola Maryland 67,11,"11 Hunter,Sabria",*,23,5-8,0-0,3-3,2-3,5,4,1,1,0,1,13
Army West Point 48,Loyola Maryland 67,34,"34 Lithgow,Lauren",*,24,2-6,2-5,2-2,0-1,1,1,0,1,0,0,8
Army West Point 48,Loyola Maryland 67,02,"02 McNaughton,Sam",*,31,2-10,0-3,0-0,0-0,0,0,2,3,0,1,4
Army West Point 48,Loyola Maryland 67,14,"14 Brown,Hope",*,27,2-7,0-3,0-0,3-4,7,1,2,1,0,0,4
Army West Point 48,Loyola Maryland 67,12,"12 Kearney,Vasana",*,9,0-2,0-1,0-0,0-0,0,3,0,0,0,0,0
Army West Point 48,Loyola Maryland 67,04,"04 Hall,Kamryn",,30,4-7,1-1,0-1,0-1,1,1,4,0,1,1,9
Army West Point 48,Loyola Maryland 67,03,"03 Rhine,Natalie",,28,3-5,2-4,0-0,1-1,2,1,0,1,0,0,8
Army West Point 48,Loyola Maryland 67,13,"13 Hardy,Trinity",,11,1-2,0-0,0-0,0-1,1,0,0,2,0,1,2
Army West Point 48,Loyola Maryland 67,21,"21 Ericson,Reese",,17,0-4,0-4,0-0,0-1,1,3,2,3,0,0,0
Army West Point 48,Loyola Maryland 67,TM,TM TEAM,,0,0-0,0-0,0-0,1-2,3,0,0,2,0,0,0
Holy Cross 53,Loyola Maryland 46,01,"01 Cross,Addisyn",*,31,4-8,0-3,0-0,0-5,5,2,2,2,1,1,8
Holy Cross 53,Loyola Maryland 46,10,"10 Allen,Janelle",*,26,3-8,0-0,2-2,5-2,7,1,0,1,1,0,8
Holy Cross 53,Loyola Maryland 46,15,"15 McCormack,Cara",*,25,2-8,2-7,2-2,0-2,2,0,1,2,0,0,8
Holy Cross 53,Loyola Maryland 46,05,"05 Flanagan,Kaitlyn",*,26,1-4,0-2,2-2,0-1,1,1,0,2,0,1,4
Holy Cross 53,Loyola Maryland 46,13,"13 Power-Cassidy,Bronagh",*,26,0-1,0-1,0-0,1-1,2,0,1,0,0,0,0
Holy Cross 53,Loyola Maryland 46,24,"24 Foreman,Simone",,23,7-10,0-0,3-4,0-2,2,0,1,2,1,2,17
Holy Cross 53,Loyola Maryland 46,35,"35 Berger,Lindsay",,22,0-2,0-0,5-6,1-4,5,1,1,0,0,1,5
Holy Cross 53,Loyola Maryland 46,33,"33 Donnelly,Mary-Elizabeth",,16,1-4,1-4,0-0,0-2,2,1,0,0,0,0,3
Holy Cross 53,Loyola Maryland 46,00,"00 Wright,Callie",,5,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0
Holy Cross 53,Loyola Maryland 46,TM,TM TEAM,,0,0-0,0-0,0-0,0-1,1,0,0,0,0,0,0
Loyola Maryland 46,Holy Cross 53,45,"45 Therien, Lex",*,28,8-13,0-2,1-3,1-9,10,4,0,1,0,1,17
Loyola Maryland 46,Holy Cross 53,04,"04 Dixon, Taleah",*,34,5-15,2-6,0-0,1-1,2,4,5,2,0,1,12
Loyola Maryland 46,Holy Cross 53,01,"01 Ratigan, Kelly",*,32,2-5,2-4,0-0,0-0,0,3,0,1,0,0,6
Loyola Maryland 46,Holy Cross 53,10,"10 Sims, Koi",*,29,3-9,0-0,0-0,7-5,12,3,2,3,0,0,6
Loyola Maryland 46,Holy Cross 53,15,"15 Salmerón, Laura",*,25,0-3,0-1,0-0,0-2,2,1,1,2,0,1,0
Loyola Maryland 46,Holy Cross 53,13,"13 Tañedo, Caramina",,19,1-2,1-1,0-0,0-1,1,0,1,0,0,1,3
Loyola Maryland 46,Holy Cross 53,05,"05 Newman, Devyne",,15,1-4,0-0,0-0,1-0,1,0,0,1,0,0,2
Loyola Maryland 46,Holy Cross 53,02,"02 Van-Otoo, Meliah",,6,0-1,0-1,0-0,0-0,0,0,0,0,0,1,0
Loyola Maryland 46,Holy Cross 53,12,"12 Garcia, Cristina",,6,0-0,0-0,0-0,0-0,0,0,0,1,0,1,0
Loyola Maryland 46,Holy Cross 53,23,"23 Espinal, Marta",,6,0-1,0-1,0-0,0-0,0,0,0,1,0,0,0
Loyola Maryland 46,Holy Cross 53,TM,TM TEAM,,0,0-0,0-0,0-0,2-1,3,0,0,3,0,0,0
Bucknell 56,Loyola Maryland 50,14,"14 Johnson,Tai",*,40,4-7,1-1,6-8,0-2,2,0,2,0,0,0,15
