team,opponent,##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
Loyola Maryland 68,Army West Point 83,13,"13 Tañedo, Caramina",,6,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0
Loyola Maryland 68,Army West Point 83,23,"23 Espinal, Marta",,6,0-1,0-0,0-0,0-1,1,1,0,3,0,0,0
Loyola Maryland 68,Army West Point 83,12,"12 Garcia, Cristina",,1,0-1,0-1,0-0,0-0,0,0,0,0,0,1,0
Loyola Maryland 68,Army West Point 83,TM,TM TEAM,,0,0-0,0-0,0-0,3-2,5,0,0,0,0,0,0
Lehigh 67,Loyola Maryland 59,20,"20 Hottinger,Frannie",*,39,7-21,1-6,13-17,2-11,13,0,3,2,0,1,28
Lehigh 67,Loyola Maryland 59,34,"34 Fandre,Lily",*,27,4-10,2-6,0-2,2-6,8,4,2,1,1,0,10
Lehigh 67,Loyola Maryland 59,01,"01 Harvey,Anna",*,39,3-6,3-5,0-0,0-4,4,3,5,2,0,2,9
Lehigh 67,Loyola Maryland 59,05,"05 Stemmer,Ella",*,32,1-5,1-5,4-4,0-1,1,1,0,1,0,0,7
Lehigh 67,Loyola Maryland 59,14,"14 Van Eps,Kaylee",*,24,0-0,0-0,2-2,0-2,2,3,2,1,0,1,2
Lehigh 67,Loyola Maryland 59,12,"12 Behar,Jamie",,19,3-7,2-5,0-0,0-2,2,2,1,2,1,0,8
Lehigh 67,Loyola Maryland 59,22,"22 Albrecht,Maddie",,13,1-2,0-0,1-2,1-0,1,1,0,1,0,0,3
Lehigh 67,Loyola Maryland 59,33,"33 O'Brien,Meghan",,5,0-0,0-0,0-0,0-0,0,1,0,1,0,0,0
Lehigh 67,Loyola Maryland 59,11,"11 Eggenschwiler,Fabienne",,2,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0
Lehigh 67,Loyola Maryland 59,TM,TM TEAM,,0,0-0,0-0,0-0,3-2,5,0,0,1,0,0,0
Loyola Maryland 59,Lehigh 67,45,"45 Therien, Lex",*,32,9-11,0-0,4-9,3-9,12,4,2,2,0,2,22
Loyola Maryland 59,Lehigh 67,04,"04 Dixon, Taleah",*,29,4-18,2-6,4-4,0-1,1,4,1,4,0,3,14
Loyola Maryland 59,Lehigh 67,01,"01 Ratigan, Kelly",*,33,3-7,2-4,2-2,0-3,3,3,3,2,0,0,10
Loyola Maryland 59,Lehigh 67,22,"22 Rozzi, Bri",*,39,2-7,1-3,1-2,1-3,4,2,3,1,0,2,6
Loyola Maryland 59,Lehigh 67,05,"05 Newman, Devyne",*,27,2-10,1-4,1-2,2-2,4,5,2,3,0,1,6
Loyola Maryland 59,Lehigh 67,12,"12 Garcia, Cristina",,25,0-3,0-1,1-2,3-2,5,3,0,1,1,0,1
Loyola Maryland 59,Lehigh 67,15,"15 Salmerón, Laura",,5,0-1,0-1,0-0,0-2,2,0,0,1,0,0,0
Loyola Maryland 59,Lehigh 67,23,"23 Espinal, Marta",,5,0-0,0-0,0-0,0-2,2,1,0,0,0,0,0
Loyola Maryland 59,Lehigh 67,13,"13 Tañedo, Caramina",,4,0-0,0-0,0-0,0-0,0,0,1,0,0,0,0
Loyola Maryland 59,Lehigh 67,02,"02 Van-Otoo, Meliah",,1,0-1,0-1,0-0,0-1,1,0,0,0,0,0,0
Loyola Maryland 59,Lehigh 67,TM,TM TEAM,,0,0-0,0-0,0-0,2-1,3,0,0,0,0,0,0
Loyola Maryland 66,Lafayette 55,04,"04 Dixon, Taleah",*,34,7-15,3-6,3-4,0-2,2,3,5,0,0,0,20
Loyola Maryland 66,Lafayette 55,45,"45 Therien, Lex",*,33,7-14,0-1,3-3,6-14,20,3,2,3,0,0,17
Loyola Maryland 66,Lafayette 55,22,"22 Rozzi, Bri",*,33,4-9,0-3,2-2,2-5,7,1,3,2,0,3,10
Loyola Maryland 66,Lafayette 55,01,"01 Ratigan, Kelly",*,35,2-6,2-4,3-4,3-3,6,2,3,1,0,1,9
Loyola Maryland 66,Lafayette 55,05,"05 Newman, Devyne",*,29,4-9,0-1,0-0,0-2,2,1,3,1,0,0,8
Loyola Maryland 66,Lafayette 55,23,"23 Espinal, Marta",,9,1-2,0-0,0-0,1-0,1,1,0,1,0,0,2
Loyola Maryland 66,Lafayette 55,12,"12 Garcia, Cristina",,9,0-0,0-0,0-0,0-0,0,1,0,1,0,0,0
Loyola Maryland 66,Lafayette 55,02,"02 Van-Otoo, Meliah",,8,0-1,0-0,0-2,0-0,0,2,2,0,0,0,0
Loyola Maryland 66,Lafayette 55,13,"13 Tañedo, Caramina",,5,0-0,0-0,0-0,1-1,2,0,1,1,0,1,0
Loyola Maryland 66,Lafayette 55,15,"15 Salmerón, Laura",,5,0-3,0-3,0-0,0-0,0,0,1,0,0,0,0
Loyola Maryland 66,Lafayette 55,TM,TM TEAM,,0,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
Lafayette 55,Loyola Maryland 66,23,"23 Andrews,Makayla",*,34,7-14,0-1,2-2,2-6,8,4,2,5,0,0,16
Lafayette 55,Loyola Maryland 66,01,"01 Antognoli,Abby",*,28,3-9,1-3,4-4,3-1,4,3,1,4,0,1,11
Lafayette 55,Loyola Maryland 66,31,"31 Smith,Halee",*,36,4-10,0-2,0-0,0-3,3,1,4,1,0,1,8
Lafayette 55,Loyola Maryland 66,24,"24 Ntaconayigize,Sauda",*,32,2-3,1-2,0-0,0-4,4,0,4,0,1,1,5
Lafayette 55,Loyola Maryland 66,22,"22 Matthews,Aniya",*,24,2-2,0-0,0-0,0-3,3,0,0,0,2,0,4
Lafayette 55,Loyola Maryland 66,15,"15 Donahue,Kay",,15,3-7,2-2,0-0,0-2,2,3,0,0,0,0,8
Lafayette 55,Loyola Maryland 66,04,"04 Favours,Kylie",,31,1-8,1-5,0-2,0-1,1,2,4,1,0,3,3
Lafayette 55,Loyola Maryland 66,TM,TM TEAM,,0,0-0,0-0,0-0,0-2,2,0,0,0,0,0,0
Navy 50,Loyola Maryland 74,34,"34 Watts,Sydne",*,28,6-12,3-6,0-0,0-0,0,1,1,1,0,0,15
Navy 50,Loyola Maryland 74,30,"30 Louridas,Maren",*,35,5-15,1-4,1-2,0-2,2,3,2,1,0,0,12
Navy 50,Loyola Maryland 74,24,"24 Llewellyn,Lindsay",*,24,4-8,0-2,1-2,0-2,2,3,3,3,0,4,9
Navy 50,Loyola Maryland 74,04,"04 Schrader,Mimi",*,25,0-5,0-2,0-0,0-3,3,1,2,2,0,0,0
Navy 50,Loyola Maryland 74,14,"14 Andrews,Morganne",*,25,0-0,0-0,0-0,1-2,3,1,0,0,0,1,0
Navy 50,Loyola Maryland 74,11,"11 Schofield,Sam",,17,3-8,1-5,0-0,0-0,0,1,0,1,0,0,7
Navy 50,Loyola Maryland 74,44,"44 Samson,Kate",,20,1-3,0-0,1-2,1-1,2,3,1,0,2,1,3
Navy 50,Loyola Maryland 74,15,"15 Coleman,Bianca",,10,1-3,0-1,0-0,1-0,1,2,1,1,0,0,2
Navy 50,Loyola Maryland 74,01,"01 Giuliani,Kelli",,9,1-2,0-1,0-0,0-0,0,1,1,3,0,1,2
Navy 50,Loyola Maryland 74,23,"23 Demos,Morgan",,7,0-0,0-0,0-0,1-1,2,0,0,0,1,0,0
Navy 50,Loyola Maryland 74,TM,TM TEAM,,0,0-0,0-0,0-0,1-1,2,0,0,0,0,0,0
Loyola Maryland 74,Navy 50,45,"45 Therien, Lex",*,31,7-10,0-0,10-10,3-12,15,3,1,7,0,4,24
Loyola Maryland 74,Navy 50,04,"04 Dixon, Taleah",*,26,5-10,1-3,1-1,0-1,1,0,0,2,0,1,12
Loyola Maryland 74,Navy 50,05,"05 Newman, Devyne",*,27,5-8,0-1,1-1,0-2,2,0,4,1,0,0,11
Loyola Maryland 74,Navy 50,01,"01 Ratigan, Kelly",*,29,3-5,2-4,0-0,0-3,3,2,1,2,0,0,8
Loyola Maryland 74,Navy 50,22,"22 Rozzi, Bri",*,33,2-4,0-1,2-4,0-5,5,0,3,1,0,0,6
Loyola Maryland 74,Navy 50,15,"15 Salmerón, Laura",,21,3-4,0-0,1-1,0-2,2,1,0,0,0,0,7
Loyola Maryland 74,Navy 50,12,"12 Garcia, Cristina",,7,1-1,0-0,2-2,0-1,1,4,1,0,0,0,4
Loyola Maryland 74,Navy 50,13,"13 Tañedo, Caramina",,5,0-1,0-1,2-2,0-0,0,0,0,1,0,3,2
Loyola Maryland 74,Navy 50,02,"02 Van-Otoo, Meliah",,10,0-0,0-0,0-0,0-1,1,1,0,3,0,0,0
Loyola Maryland 74,Navy 50,23,"23 Espinal, Marta",,9,0-0,0-0,0-0,0-2,2,1,0,0,0,0,0
Loyola Maryland 74,Navy 50,21,"21 Orza, Caroline",,2,0-1,0-0,0-0,0-0,0,1,0,0,0,0,0
Loyola Maryland 74,Navy 50,TM,TM TEAM,,0,0-0,0-0,0-0,1-1,2,0,0,3,0,0,0
Loyola Maryland 51,Holy Cross 59,04,"04 Dixon, Taleah",*,33,4-10,1-4,5-8,1-3,4,2,2,2,0,2,14
Loyola Maryland 51,Holy Cross 59,22,"22 Rozzi, Bri",*,39,4-10,1-5,0-0,2-3,5,4,2,3,0,2,9
Loyola Maryland 51,Holy Cross 59,01,"01 Ratigan, Kelly",*,34,3-6,1-2,2-2,0-3,3,4,2,2,0,1,9
Loyola Maryland 51,Holy Cross 59,45,"45 Therien, Lex",*,29,2-10,0-0,3-5,6-7,13,4,1,3,0,1,7
Loyola Maryland 51,Holy Cross 59,05,"05 Newman, Devyne",*,29,2-11,0-3,0-0,1-2,3,0,1,0,0,1,4
Loyola Maryland 51,Holy Cross 59,23,"23 Espinal, Marta",,10,1-2,0-0,3-4,0-0,0,3,0,1,0,0,5
Loyola Maryland 51,Holy Cross 59,12,"12 Garcia, Cristina",,3,0-0,0-0,2-2,0-0,0,0,0,0,0,0,2
Loyola Maryland 51,Holy Cross 59,13,"13 Tañedo, Caramina",,5,0-0,0-0,1-2,0-2,2,0,0,0,0,0,1
Loyola Maryland 51,Holy Cross 59,15,"15 Salmerón, Laura",,18,0-1,0-0,0-0,0-0,0,0,0,1,0,1,0
Loyola Maryland 51,Holy Cross 59,TM,TM TEAM,,0,0-0,0-0,0-0,1-3,4,0,0,2,0,0,0
Holy Cross 59,Loyola Maryland 51,13,"13 Power-Cassidy,Bronagh",*,36,6-15,3-6,0-0,2-3,5,3,2,4,0,0,15
Holy Cross 59,Loyola Maryland 51,05,"05 Flanagan,Kaitlyn",*,35,4-9,1-4,2-2,0-6,6,1,5,1,1,1,11
Holy Cross 59,Loyola Maryland 51,10,"10 Allen,Janelle",*,25,2-4,0-0,0-0,1-5,6,4,1,1,2,0,4
Holy Cross 59,Loyola Maryland 51,35,"35 Berger,Lindsay",*,18,1-4,0-0,2-2,2-2,4,0,1,0,0,0,4
Holy Cross 59,Loyola Maryland 51,01,"01 Cross,Addisyn",*,34,1-3,0-1,0-0,0-2,2,1,6,0,0,0,2
Holy Cross 59,Loyola Maryland 51,15,"15 McCormack,Cara",,24,3-6,2-5,4-4,1-3,4,3,1,6,0,0,12
Holy Cross 59,Loyola Maryland 51,24,"24 Foreman,Simone",,18,3-8,0-0,1-2,1-1,2,0,0,1,0,0,7
Holy Cross 59,Loyola Maryland 51,00,"00 Wright,Callie",,3,1-1,0-0,0-0,0-1,1,1,0,0,0,0,2
Holy Cross 59,Loyola Maryland 51,23,"23 Munt,Grace",,3,1-1,0-0,0-0,0-0,0,2,0,0,1,0,2
Holy Cross 59,Loyola Maryland 51,33,"33 Donnelly,Mary-Elizabeth",,4,0-1,0-1,0-0,0-1,1,1,1,1,0,0,0
Holy Cross 59,Loyola Maryland 51,TM,TM TEAM,,0,0-0,0-0,0-0,0-1,1,0,0,0,0,0,0
Loyola Maryland 59,American 67,45,"45 Therien, Lex",*,33,8-14,0-0,3-5,2-9,11,5,1,4,0,2,19
Loyola Maryland 59,American 67,01,"01 Ratigan, Kelly",*,35,3-9,3-6,4-4,1-2,3,0,1,1,0,2,13
Loyola Maryland 59,American 67,04,"04 Dixon, Taleah",*,36,4-13,2-7,2-3,0-2,2,3,2,5,0,1,12
Loyola Maryland 59,American 67,22,"22 Rozzi, Bri",*,33,2-5,0-2,1-2,0-2,2,4,3,3,0,0,5
Loyola Maryland 59,American 67,05,"05 Newman, Devyne",*,19,1-5,1-1,0-0,0-1,1,4,1,3,0,0,3
Loyola Maryland 59,American 67,13,"13 Tañedo, Caramina",,24,1-2,0-1,3-4,3-2,5,5,0,2,1,1,5
Loyola Maryland 59,American 67,23,"23 Espinal, Marta",,10,1-1,0-0,0-0,2-0,2,3,0,1,0,0,2
Loyola Maryland 59,American 67,15,"15 Salmerón, Laura",,6,0-0,0-0,0-0,1-1,2,0,0,0,0,0,0
Loyola Maryland 59,American 67,12,"12 Garcia, Cristina",,4,0-1,0-0,0-0,2-0,2,1,1,0,0,0,0
Loyola Maryland 59,American 67,TM,TM TEAM,,0,0-0,0-0,0-0,2-4,6,0,0,2,0,0,0
American 67,Loyola Maryland 59,44,"44 Johns,Emily",*,31,6-12,0-1,7-8,3-3,6,1,2,2,1,0,19
American 67,Loyola Maryland 59,02,"02 Bales,Ivy",*,34,6-10,0-1,1-2,0-5,5,2,4,5,1,1,13
American 67,Loyola Maryland 59,23,"23 Stack,Lauren",*,38,3-7,0-0,6-8,3-2,5,2,2,0,2,4,12
American 67,Loyola Maryland 59,05,"05 Stetson,Sadie",*,33,2-5,2-3,0-0,0-3,3,3,3,2,0,1,6
American 67,Loyola Maryland 59,13,"13 Henning,Kayla",*,24,1-4,0-1,0-0,1-1,2,4,3,1,0,1,2
American 67,Loyola Maryland 59,10,"10 LeMaster,Anna",,19,3-9,1-5,3-3,1-0,1,1,0,0,0,1,10
American 67,Loyola Maryland 59,04,"04 Nogues,Laura",,12,1-2,0-0,1-2,0-0,0,4,0,4,0,0,3
American 67,Loyola Maryland 59,55,"55 Lavin,Molly",,9,1-2,0-0,0-0,0-2,2,0,0,0,0,0,2
American 67,Loyola Maryland 59,TM,TM TEAM,,0,0-0,0-0,0-0,0-4,4,0,0,0,0,0,0
Colgate 64,Loyola Maryland 50,05,"05 Golembiewski,Taylor",*,33,7-14,0-1,5-6,1-2,3,0,1,0,0,3,19
Colgate 64,Loyola Maryland 50,03,"03 Brodie,Alexa",*,33,7-14,0-0,0-0,0-5,5,0,1,3,0,0,14
Colgate 64,Loyola Maryland 50,11,"11 McMillan,Tiasia",*,29,5-6,0-0,0-2,1-4,5,2,1,4,3,2,10
Colgate 64,Loyola Maryland 50,04,"04 Schiller,Madison",*,38,2-6,0-0,0-0,1-2,3,2,1,0,0,2,4
Colgate 64,Loyola Maryland 50,02,"02 Midgette,Christina",*,23,1-3,0-0,2-2,4-1,5,4,1,0,0,0,4
Colgate 64,Loyola Maryland 50,01,"01 McMahon,Morgan",,12,2-6,0-0,3-3,2-3,5,1,1,0,0,0,7
Colgate 64,Loyola Maryland 50,13,"13 Diehl,Sophia",,16,2-4,0-0,0-0,2-0,2,2,0,1,0,0,4
Colgate 64,Loyola Maryland 50,34,"34 Blackmore,Lindsay",,11,1-1,0-0,0-0,0-0,0,0,0,1,0,0,2
Colgate 64,Loyola Maryland 50,20,"20 Paul,Jenna",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
Colgate 64,Loyola Maryland 50,21,"21 Cook,Lara",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
Colgate 64,Loyola Maryland 50,41,"41 Ferguson,Abbey",,1,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0
Colgate 64,Loyola Maryland 50,TM,TM TEAM,,0,0-0,0-0,0-0,0-3,3,0,0,1,0,0,0
Loyola Maryland 50,Colgate 64,45,"45 Therien, Lex",*,32,7-11,0-0,9-12,1-8,9,3,0,1,0,2,23
Loyola Maryland 50,Colgate 64,05,"05 Newman, Devyne",*,25,4-6,1-2,0-0,1-1,2,0,0,1,0,0,9
Loyola Maryland 50,Colgate 64,04,"04 Dixon, Taleah",*,35,4-11,0-3,0-0,0-1,1,3,5,1,0,4,8
Loyola Maryland 50,Colgate 64,01,"01 Ratigan, Kelly",*,36,3-10,1-6,0-0,0-3,3,2,1,2,0,0,7
Loyola Maryland 50,Colgate 64,22,"22 Rozzi, Bri",*,26,0-4,0-0,0-0,1-2,3,4,4,1,0,0,0
Loyola Maryland 50,Colgate 64,23,"23 Espinal, Marta",,12,1-2,0-0,0-0,1-2,3,1,0,0,0,0,2
Loyola Maryland 50,Colgate 64,02,"02 Van-Otoo, Meliah",,7,0-0,0-0,1-2,0-0,0,0,0,2,0,0,1
Loyola Maryland 50,Colgate 64,12,"12 Garcia, Cristina",,14,0-1,0-0,0-0,1-1,2,0,0,2,0,0,0
Loyola Maryland 50,Colgate 64,15,"15 Salmerón, Laura",,13,0-0,0-0,0-0,0-0,0,1,1,1,0,1,0
Loyola Maryland 50,Colgate 64,TM,TM TEAM,,0,0-0,0-0,0-0,1-0,1,0,0,0,0,0,0
Loyola Maryland 61,Lafayette 52,45,"45 Therien, Lex",*,37,6-13,0-1,5-9,3-18,21,3,3,5,0,2,17
Loyola Maryland 61,Lafayette 52,05,"05 Newman, Devyne",*,33,8-13,1-1,0-0,2-3,5,0,3,1,0,1,17
Loyola Maryland 61,Lafayette 52,04,"04 Dixon, Taleah",*,35,3-9,2-6,4-4,0-2,2,1,2,1,0,0,12
Loyola Maryland 61,Lafayette 52,01,"01 Ratigan, Kelly",*,38,4-8,2-4,0-1,0-1,1,2,3,1,0,0,10
Loyola Maryland 61,Lafayette 52,22,"22 Rozzi, Bri",*,36,1-4,1-3,2-2,0-2,2,3,5,2,0,1,5
Loyola Maryland 61,Lafayette 52,12,"12 Garcia, Cristina",,11,0-2,0-1,0-0,0-0,0,2,1,0,0,0,0
Loyola Maryland 61,Lafayette 52,13,"13 Tañedo, Caramina",,5,0-0,0-0,0-0,1-0,1,0,1,0,0,0,0
Loyola Maryland 61,Lafayette 52,23,"23 Espinal, Marta",,4,0-2,0-0,0-0,1-1,2,1,0,0,0,0,0
Loyola Maryland 61,Lafayette 52,15,"15 Salmerón, Laura",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
Loyola Maryland 61,Lafayette 52,TM,TM TEAM,,0,0-0,0-0,0-0,1-1,2,0,0,0,0,0,0
Lafayette 52,Loyola Maryland 61,23,"23 Andrews,Makayla",*,35,6-13,0-1,2-2,1-7,8,3,0,4,1,0,14
Lafayette 52,Loyola Maryland 61,01,"01 Antognoli,Abby",*,40,5-12,1-6,2-2,1-2,3,1,5,0,0,2,13
Lafayette 52,Loyola Maryland 61,15,"15 Donahue,Kay",*,33,4-14,3-8,0-0,0-6,6,3,1,3,1,0,11
Lafayette 52,Loyola Maryland 61,24,"24 Ntaconayigize,Sauda",*,34,2-5,1-3,0-0,0-1,1,0,3,2,0,0,5
Lafayette 52,Loyola Maryland 61,22,"22 Matthews,Aniya",*,32,2-6,0-0,0-0,2-5,7,4,1,1,2,1,4
Lafayette 52,Loyola Maryland 61,04,"04 Favours,Kylie",,26,2-4,1-2,0-0,0-1,1,3,0,1,0,1,5
Lafayette 52,Loyola Maryland 61,TM,TM TEAM,,0,0-0,0-0,0-0,1-2,3,0,0,0,0,0,0
Loyola Maryland 52,Boston U. 66,04,"04 Dixon, Taleah",*,34,4-10,1-2,2-2,0-3,3,1,1,1,0,1,11
Loyola Maryland 52,Boston U. 66,05,"05 Newman, Devyne",*,33,5-17,1-3,0-0,1-1,2,2,1,1,0,1,11
Loyola Maryland 52,Boston U. 66,22,"22 Rozzi, Bri",*,37,3-7,1-3,2-2,0-5,5,0,3,1,0,0,9
Loyola Maryland 52,Boston U. 66,01,"01 Ratigan, Kelly",*,31,3-7,2-4,0-0,1-6,7,1,0,2,0,1,8
Loyola Maryland 52,Boston U. 66,45,"45 Therien, Lex",*,28,3-9,0-0,2-2,2-9,11,4,1,2,0,2,8
Loyola Maryland 52,Boston U. 66,13,"13 Tañedo, Caramina",,13,1-3,1-1,0-0,2-0,2,0,0,1,0,1,3
Loyola Maryland 52,Boston U. 66,12,"12 Garcia, Cristina",,10,1-3,0-0,0-0,0-0,0,2,0,0,0,0,2
Loyola Maryland 52,Boston U. 66,23,"23 Espinal, Marta",,12,0-2,0-0,0-0,1-2,3,3,0,4,0,0,0
Loyola Maryland 52,Boston U. 66,15,"15 Salmerón, Laura",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
Loyola Maryland 52,Boston U. 66,35,"35 Therien, Ava",,1,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0
Loyola Maryland 52,Boston U. 66,21,"21 Orza, Caroline",,0+,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
Loyola Maryland 52,Boston U. 66,TM,TM TEAM,,0,0-0,0-0,0-0,3-2,5,0,0,2,0,0,0
Boston U. 66,Loyola Maryland 52,10,"10 Giannaros,Alex",*,31,6-14,6-12,0-0,0-3,3,0,4,1,0,1,18
Boston U. 66,Loyola Maryland 52,30,"30 Davenport,Lauren",*,26,5-13,4-7,0-1,0-3,3,2,0,1,0,1,14
Boston U. 66,Loyola Maryland 52,33,"33 Durant,Maren",*,37,5-6,0-0,2-3,1-14,15,2,2,1,6,2,12
Boston U. 66,Loyola Maryland 52,14,"14 Johnson,Sydney",*,37,4-9,1-4,2-5,2-1,3,2,8,0,0,1,11
Boston U. 66,Loyola Maryland 52,22,"22 Pina,Maggie",*,23,1-6,0-3,0-0,0-0,0,1,2,1,0,2,2
Boston U. 66,Loyola Maryland 52,44,"44 Crispe,Sam",,17,3-5,0-1,0-0,1-3,4,3,2,2,0,0,6
Boston U. 66,Loyola Maryland 52,40,"40 Beneventine,Sophie",,18,1-3,1-2,0-0,0-0,0,0,2,1,0,1,3
Boston U. 66,Loyola Maryland 52,04,"04 Shean,Liz",,7,0-0,0-0,0-0,1-2,3,0,0,3,0,0,0
Boston U. 66,Loyola Maryland 52,02,"02 Semenova,Anastasiia",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
Boston U. 66,Loyola Maryland 52,03,"03 Mingo,Kelsi",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
Boston U. 66,Loyola Maryland 52,TM,TM TEAM,,0,0-0,0-0,0-0,0-1,1,0,0,0,0,0,0
