Opponent,Date,Score,W/L,FGM/A,PCT,3FG/A,PCT,FTM/A,PCT,OFF,DEF,TOT,AVG,PF,AST,TO,BLK,STL,PTS,AVG,Link,Date
vs Niagara,11/07/22,55-64,L,20-50,.400,1-10,.100,14-22,.636,12,31,43,43.0,17,12,33,4,5,55,55.0,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15531,2022-23
at Morgan State,11/10/22,50-59,L,20-49,.408,4-15,.267,6-10,.600,9,37,46,44.5,16,11,27,2,5,50,52.5,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15532,2022-23
vs UMBC,11/13/22,61-47,W,22-53,.415,4-14,.286,13-18,.722,10,27,37,42.0,18,10,16,2,6,61,55.3,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15533,2022-23
vs Monmouth,11/16/22,61-59,W,21-57,.368,6-18,.333,13-18,.722,15,17,32,39.5,11,11,12,0,9,61,56.8,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15534,2022-23
at George Mason,11/19/22,58-66,L,21-51,.412,3-10,.300,13-15,.867,11,16,27,37.0,23,5,14,1,7,58,57.0,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15535,2022-23
at Bryant,11/21/22,69-64,W,22-55,.400,9-20,.450,16-25,.640,14,19,33,36.3,14,15,11,0,10,69,59.0,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15536,2022-23
vs Delaware St.,11/26/22,60-51,W,24-49,.490,6-12,.500,6-7,.857,9,18,27,35.0,22,11,21,2,10,60,59.1,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15537,2022-23
vs Toledo,11/30/22,40-62,L,15-46,.326,3-13,.231,7-11,.636,9,24,33,34.8,19,7,22,1,3,40,56.8,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15538,2022-23
at Mount St. Mary's,12/03/22,66-73,L,27-50,.540,7-13,.538,5-9,.556,9,21,30,34.2,14,17,23,1,4,66,57.8,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15539,2022-23
at Pittsburgh,12/07/22,42-78,L,10-56,.179,6-23,.261,16-22,.727,21,18,39,34.7,15,8,23,1,11,42,56.2,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15540,2022-23
vs Hofstra,12/10/22,62-61,W,19-61,.311,5-21,.238,19-27,.704,12,23,35,34.7,20,11,16,1,14,62,56.7,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15541,2022-23
at Colgate,12/30/22,61-56,W,25-52,.481,2-14,.143,9-12,.750,9,23,32,34.5,11,15,14,1,7,61,57.1,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15542,2022-23
vs American,01/02/23,37-52,L,16-52,.308,4-17,.235,1-4,.250,14,21,35,34.5,15,10,24,4,10,37,55.5,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15543,2022-23
at Army West Point,01/05/23,67-48,W,28-46,.609,4-7,.571,7-11,.636,7,26,33,34.4,12,15,17,1,3,67,56.4,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15544,2022-23
vs Holy Cross,01/08/23,46-53,L,20-53,.377,5-16,.313,1-3,.333,12,19,31,34.2,15,9,15,0,6,46,55.7,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15545,2022-23
vs Bucknell,01/11/23,50-56,L,22-59,.373,3-10,.300,3-4,.750,11,18,29,33.9,15,12,7,1,2,50,55.3,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15546,2022-23
at Navy,01/14/23,43-63,L,13-48,.271,2-9,.222,15-20,.750,5,20,25,33.4,21,5,16,0,6,43,54.6,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15547,2022-23
at Lehigh,01/18/23,65-72,L,25-71,.352,5-19,.263,10-14,.714,23,29,52,34.4,22,15,21,1,2,65,55.2,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15548,2022-23
vs Boston U.,01/21/23,57-65,L,23-56,.411,5-17,.294,6-10,.600,13,23,36,34.5,17,10,16,3,2,57,55.3,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15549,2022-23
vs Lafayette,01/25/23,35-39,L,13-46,.283,1-13,.077,8-14,.571,13,27,40,34.8,14,8,17,2,8,35,54.3,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15550,2022-23
at Bucknell,01/28/23,37-73,L,14-49,.286,2-11,.182,7-11,.636,11,16,27,34.4,18,7,20,2,4,37,53.4,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15551,2022-23
at Boston U.,02/04/23,57-100,L,24-67,.358,3-12,.250,6-7,.857,6,16,22,33.8,16,11,15,1,7,57,53.6,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15552,2022-23
vs Army West Point,02/08/23,68-83,L,23-56,.411,3-9,.333,19-23,.826,10,19,29,33.6,21,10,12,2,5,68,54.2,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15553,2022-23
vs Lehigh,02/11/23,59-67,L,20-58,.345,6-20,.300,13-21,.619,11,26,37,33.8,22,12,14,1,8,59,54.4,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15554,2022-23
at Lafayette,02/15/23,66-55,W,25-59,.424,5-18,.278,11-15,.733,13,27,40,34.0,14,20,10,0,5,66,54.9,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15555,2022-23
vs Navy,02/19/23,74-50,W,26-44,.591,3-10,.300,19-21,.905,4,30,34,34.0,13,10,20,0,8,74,55.6,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15556,2022-23
at Holy Cross,02/22/23,51-59,L,16-50,.320,3-14,.214,16-23,.696,11,23,34,34.0,17,8,14,0,8,51,55.4,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15557,2022-23
at American,02/25/23,59-67,L,20-50,.400,6-17,.353,13-18,.722,13,23,36,34.1,25,9,21,1,6,59,55.6,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15558,2022-23
vs Colgate,03/01/23,50-64,L,19-45,.422,2-11,.182,10-14,.714,6,18,24,33.7,14,11,11,0,7,50,55.4,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15559,2022-23
at Lafayette,03/04/23,61-52,W,22-51,.431,6-16,.375,11-16,.688,8,28,36,33.8,12,18,10,0,4,61,55.6,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15591,2022-23
at Boston U.,03/06/23,52-66,L,20-58,.345,6-13,.462,6-6,1.000,10,28,38,33.9,14,6,14,0,6,52,55.5,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15592,2022-23
at Niagara,11/09/21,71-81,L,24-53,.453,8-14,.571,15-19,.789,7,20,27,27.0,20,12,21,0,7,71,71.0,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15070,2021-22
vs George Mason,11/12/21,51-53,L,17-54,.315,4-15,.267,13-17,.765,13,22,35,31.0,20,9,17,2,8,51,61.0,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15071,2021-22
vs Fairleigh Dickinson,11/14/21,68-59,W,24-53,.453,2-11,.182,18-23,.783,11,27,38,33.3,17,12,17,1,7,68,63.3,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15072,2021-22
vs UMBC,11/17/21,63-57,W,22-52,.423,7-19,.368,12-17,.706,11,27,38,34.5,10,15,16,2,6,63,63.3,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15073,2021-22
at Hofstra,11/20/21,53-55,L,20-53,.377,4-15,.267,9-11,.818,13,24,37,35.0,11,11,17,0,9,53,61.2,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15074,2021-22
at Georgetown,11/24/21,55-66,L,17-48,.354,6-17,.353,15-22,.682,9,18,27,33.7,20,12,19,1,7,55,60.2,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15075,2021-22
at Howard,12/01/21,59-61,L,24-50,.480,3-11,.273,8-10,.800,8,18,26,32.6,19,12,15,0,7,59,60.0,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15076,2021-22
vs Mount St. Mary's,12/04/21,56-55,W,20-48,.417,4-10,.400,12-13,.923,5,27,32,32.5,20,6,15,1,7,56,59.5,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15077,2021-22
vs Morgan St.,12/08/21,55-64,L,20-47,.426,5-12,.417,10-16,.625,8,27,35,32.8,16,15,22,0,7,55,59.0,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15078,2021-22
at Toledo,12/11/21,53-75,L,21-49,.429,3-9,.333,8-10,.800,5,18,23,31.8,15,10,13,0,6,53,58.4,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15079,2021-22
vs Boston U.,01/05/22,51-64,L,19-57,.333,6-13,.462,7-12,.583,9,29,38,32.4,16,11,11,1,4,51,57.7,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15170,2021-22
at Bucknell,01/08/22,42-62,L,18-46,.391,1-7,.143,5-6,.833,5,23,28,32.0,18,12,17,2,3,42,56.4,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15171,2021-22
at Lafayette,01/12/22,39-48,L,11-49,.224,1-10,.100,16-22,.727,15,24,39,32.5,10,9,16,2,7,39,55.1,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15172,2021-22
vs Lehigh,01/15/22,61-72,L,24-64,.375,4-17,.235,9-10,.900,9,26,35,32.7,15,12,9,0,6,61,55.5,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15173,2021-22
at Holy Cross,01/17/22,48-63,L,20-58,.345,5-18,.278,3-5,.600,12,26,38,33.1,11,10,15,0,3,48,55.0,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15332,2021-22
at Boston U.,01/19/22,47-65,L,19-50,.380,5-16,.313,4-6,.667,8,21,29,32.8,18,8,22,2,8,47,54.5,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15174,2021-22
at American,01/22/22,49-53,L,19-47,.404,1-7,.143,10-11,.909,10,24,34,32.9,15,14,22,0,9,49,54.2,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15175,2021-22
vs Colgate,01/26/22,62-61,W,23-50,.460,3-10,.300,13-17,.765,11,22,33,32.9,17,14,20,1,7,62,54.6,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15176,2021-22
vs Bucknell,01/29/22,45-60,L,15-43,.349,3-7,.429,12-17,.706,8,18,26,32.5,22,6,19,0,8,45,54.1,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15177,2021-22
vs Army West Point,02/02/22,57-63,L,24-59,.407,4-16,.250,5-7,.714,11,21,32,32.5,18,12,11,0,7,57,54.3,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15323,2021-22
at Navy,02/05/22,54-61,L,21-63,.333,5-24,.208,7-8,.875,18,20,38,32.8,16,14,11,0,5,54,54.2,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15178,2021-22
vs Holy Cross,02/09/22,49-58,L,16-49,.327,5-14,.357,12-15,.800,11,23,34,32.8,20,10,17,2,6,49,54.0,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15179,2021-22
at Colgate,02/12/22,53-68,L,23-54,.426,3-13,.231,4-11,.364,16,21,37,33.0,13,16,14,1,5,53,54.0,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15180,2021-22
vs Lafayette,02/16/22,61-77,L,25-59,.424,6-13,.462,5-8,.625,12,19,31,32.9,15,10,15,1,5,61,54.3,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15181,2021-22
at Lehigh,02/19/22,49-73,L,21-61,.344,3-10,.300,4-6,.667,12,23,35,33.0,12,10,15,0,7,49,54.0,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15182,2021-22
vs Navy,02/23/22,56-42,W,19-50,.380,6-14,.429,12-16,.750,13,27,40,33.3,13,13,19,0,4,56,54.1,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15183,2021-22
vs American,02/26/22,48-49,L,20-46,.435,3-11,.273,5-8,.625,9,18,27,33.0,14,4,20,0,9,48,53.9,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15184,2021-22
at Army West Point,03/02/22,55-63,L,24-53,.453,3-11,.273,4-8,.500,7,20,27,32.8,11,15,16,5,11,55,53.9,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15185,2021-22
at Lafayette,03/05/22,49-58,L,18-52,.346,5-21,.238,8-11,.727,8,15,23,32.5,17,11,11,1,6,49,53.8,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/15186,2021-22
at Bucknell,01/02/21,44-72,L,18-53,.340,3-17,.176,5-6,.833,7,24,31,31.0,21,6,19,5,3,44,44.0,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/12699,2020-21
vs Bucknell,01/03/21,44-59,L,12-56,.214,1-15,.067,19-22,.864,10,24,34,32.5,20,7,10,2,2,44,44.0,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/12700,2020-21
vs American,01/23/21,45-64,L,16-51,.314,5-21,.238,8-11,.727,4,24,28,31.0,18,10,19,2,6,45,44.3,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/12667,2020-21
at American,01/24/21,58-67,L,22-55,.400,3-18,.167,11-16,.688,7,25,32,31.3,25,10,19,1,7,58,47.8,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/12668,2020-21
vs Lafayette,01/30/21,57-66,L,21-63,.333,7-27,.259,8-12,.667,12,16,28,30.6,17,15,8,1,9,57,49.6,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/12788,2020-21
at Lafayette,02/10/21,69-76,L,27-63,.429,9-27,.333,6-6,1.000,14,19,33,31.0,15,14,11,1,4,69,52.8,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/12795,2020-21
vs Navy,02/13/21,60-69,L,22-58,.379,7-20,.350,9-13,.692,5,23,28,30.6,19,9,14,1,6,60,53.9,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/12862,2020-21
at Navy,02/14/21,46-50,L,16-54,.296,5-19,.263,9-11,.818,9,25,34,31.0,11,12,14,3,6,46,52.9,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/12863,2020-21
at American,02/20/21,50-51,L,17-46,.370,4-13,.308,12-17,.706,10,21,31,31.0,16,9,19,1,13,50,52.6,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/12864,2020-21
vs American,02/21/21,52-62,L,18-54,.333,7-19,.368,9-16,.563,12,18,30,30.9,21,12,10,1,7,52,52.5,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/12865,2020-21
at Lafayette,02/27/21,35-47,L,12-53,.226,5-18,.278,6-8,.750,11,23,34,31.2,16,8,16,2,6,35,50.9,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/12876,2020-21
vs Lafayette,02/28/21,45-70,L,16-57,.281,5-24,.208,8-11,.727,11,18,29,31.0,12,12,14,0,6,45,50.4,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/12877,2020-21
at Bucknell,03/07/21,50-65,L,21-64,.328,3-16,.188,5-8,.625,9,29,38,31.5,14,8,11,3,6,50,50.4,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/12677,2020-21
at Notre Dame,11/08/19,60-84,L,24-76,.316,6-24,.250,6-12,.500,17,24,41,41.0,23,15,19,2,12,60,60.0,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9480,2019-20
at Northwestern,11/10/19,46-67,L,17-54,.315,6-24,.250,6-9,.667,9,29,38,39.5,20,12,21,1,6,46,53.0,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9481,2019-20
at Fairleigh Dickinson,11/13/19,75-46,W,28-61,.459,6-17,.353,13-21,.619,14,25,39,39.3,19,15,9,2,12,75,60.3,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9482,2019-20
vs Howard,11/20/19,69-75,L,22-69,.319,9-28,.321,16-20,.800,16,22,38,39.0,22,21,21,1,15,69,62.5,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9483,2019-20
at St. Francis Brooklyn,11/24/19,78-89,L,30-71,.423,8-24,.333,10-17,.588,10,26,36,38.4,24,18,14,0,8,78,65.6,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9484,2019-20
at Florida Atlantic,11/29/19,61-72,L,23-62,.371,5-18,.278,10-17,.588,9,24,33,37.5,20,13,15,1,13,61,64.8,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9485,2019-20
at Wright State,11/30/19,51-66,L,19-62,.306,3-20,.150,10-13,.769,15,25,40,37.9,16,13,19,1,12,51,62.9,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9486,2019-20
at Mount St. Mary's,12/06/19,75-81,L,25-55,.455,5-19,.263,20-25,.800,17,20,37,37.8,20,17,28,2,16,75,64.4,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9487,2019-20
at Maryland,12/08/19,45-105,L,18-55,.327,2-15,.133,7-11,.636,3,19,22,36.0,14,11,25,0,12,45,62.2,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9488,2019-20
vs Monmouth,12/20/19,64-48,W,23-58,.397,9-16,.563,9-16,.563,11,22,33,35.7,17,17,10,3,16,64,62.4,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9489,2019-20
vs Dartmouth,12/31/19,72-56,W,26-58,.448,7-22,.318,13-15,.867,7,28,35,35.6,18,18,17,1,17,72,63.3,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9490,2019-20
vs Holy Cross,01/02/20,56-64,L,23-62,.371,6-27,.222,4-7,.571,14,17,31,35.3,20,13,17,5,13,56,62.7,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9491,2019-20
vs Lehigh,01/05/20,53-55,L,20-56,.357,5-15,.333,8-11,.727,8,30,38,35.5,14,10,17,4,9,53,61.9,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9492,2019-20
vs Colgate,01/08/20,74-76,L,26-69,.377,7-22,.318,15-15,1.000,14,21,35,35.4,13,16,12,2,7,74,62.8,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9493,2019-20
at Lafayette,01/11/20,52-55,L,21-64,.328,5-21,.238,5-9,.556,15,26,41,35.8,22,13,21,1,10,52,62.1,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9494,2019-20
at Boston University,01/15/20,42-44,L,16-52,.308,6-18,.333,4-7,.571,5,27,32,35.6,19,8,12,3,7,42,60.8,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9495,2019-20
vs Army West Point,01/18/20,68-59,W,24-53,.453,3-12,.250,17-24,.708,9,21,30,35.2,16,13,15,1,18,68,61.2,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9496,2019-20
at American,01/22/20,44-63,L,18-56,.321,1-11,.091,7-11,.636,13,21,34,35.2,24,11,20,1,11,44,60.3,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9497,2019-20
vs Bucknell,01/25/20,60-50,W,19-46,.413,7-14,.500,15-16,.938,9,23,32,35.0,10,10,12,0,7,60,60.3,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9498,2019-20
vs Boston U,01/29/20,39-41,L,15-45,.333,1-9,.111,8-13,.615,8,21,29,34.7,16,9,18,6,6,39,59.2,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9499,2019-20
at Navy,02/01/20,50-44,W,19-49,.388,5-13,.385,7-12,.583,12,32,44,35.1,10,11,19,1,5,50,58.8,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9500,2019-20
at Bucknell,02/08/20,42-66,L,17-54,.315,4-12,.333,4-6,.667,7,25,32,35.0,11,10,15,1,5,42,58.0,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9501,2019-20
vs American,02/12/20,56-47,W,22-56,.393,2-12,.167,10-15,.667,13,24,37,35.1,13,10,14,4,7,56,57.9,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9502,2019-20
at Colgate,02/15/20,70-79,L,25-60,.417,2-10,.200,18-28,.643,13,28,41,35.3,19,2,16,1,10,70,58.4,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9503,2019-20
