Opponent,Date,Score,W/L,FGM/A,PCT,3FG/A,PCT,FTM/A,PCT,OFF,DEF,TOT,AVG,PF,AST,TO,BLK,STL,PTS,AVG,Link,Date
at LIPSCOMB,11/13/15,57-52,W,20-66,.303,4-26,.154,13-18,.722,13,33,46,46.0,21,9,18,2,8,57,57.0,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5546,2015-16
at Villanova,11/16/15,55-67,L,22-57,.386,7-15,.467,4-10,.400,13,26,39,42.5,23,9,12,4,1,55,56.0,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5547,2015-16
vs Fairfield,11/18/15,45-71,L,15-59,.254,7-17,.412,8-13,.615,7,30,37,40.7,18,11,10,4,3,45,52.3,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5548,2015-16
vs Norfolk State,11/21/15,75-67,W,27-56,.482,8-19,.421,13-15,.867,12,21,33,38.8,22,15,16,2,13,75,58.0,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5549,2015-16
vs William & Mary,11/23/15,61-62,L,18-47,.383,5-18,.278,20-30,.667,13,23,36,38.2,20,8,19,3,3,61,58.6,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5550,2015-16
at Columbia,11/28/15,53-63,L,16-52,.308,2-23,.087,19-31,.613,11,23,34,37.5,21,7,14,1,7,53,57.7,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5551,2015-16
at Old Dominion,12/02/15,41-64,L,15-55,.273,2-13,.154,9-10,.900,11,20,31,36.6,15,7,13,2,5,41,55.3,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5552,2015-16
at Mount St. Mary's,12/05/15,65-63,W,21-52,.404,6-17,.353,17-21,.810,9,18,27,35.4,17,12,19,1,11,65,56.5,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5553,2015-16
at Maryland,12/08/15,47-97,L,19-58,.328,8-28,.286,1-1,1.000,9,18,27,34.4,18,12,21,0,6,47,55.4,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5554,2015-16
vs UMBC,12/20/15,46-52,L,17-54,.315,8-27,.296,4-8,.500,9,28,37,34.7,17,11,17,0,9,46,54.5,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5555,2015-16
at St. Francis Brooklyn,12/22/15,54-64,L,20-55,.364,5-21,.238,9-17,.529,11,23,34,34.6,23,15,19,3,9,54,54.5,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5556,2015-16
vs American,12/30/15,52-46,W,18-49,.367,4-14,.286,12-18,.667,10,24,34,34.6,18,11,14,0,9,52,54.3,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5557,2015-16
vs Lafayette,01/02/16,66-65,W,28-59,.475,4-14,.286,6-9,.667,8,18,26,33.9,14,20,10,2,10,66,55.2,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5558,2015-16
at Lehigh,01/06/16,48-66,L,16-58,.276,3-18,.167,13-20,.650,6,20,26,33.4,21,10,15,3,13,48,54.6,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5559,2015-16
at Army West Point,01/09/16,37-70,L,13-43,.302,0-3,.000,11-22,.500,11,22,33,33.3,15,3,17,3,5,37,53.5,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5560,2015-16
vs Navy,01/13/16,51-38,W,19-53,.358,5-21,.238,8-13,.615,12,24,36,33.5,10,9,13,4,5,51,53.3,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5561,2015-16
vs Boston University,01/16/16,63-54,W,22-60,.367,6-21,.286,13-16,.813,15,19,34,33.5,7,13,11,3,13,63,53.9,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5562,2015-16
at Bucknell,01/20/16,64-71,L,24-60,.400,5-18,.278,11-16,.688,10,12,22,32.9,24,12,11,2,10,64,54.4,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5563,2015-16
at Colgate,01/23/16,65-49,W,27-53,.509,6-14,.429,5-10,.500,8,24,32,32.8,15,16,11,3,12,65,55.0,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5564,2015-16
at Lafayette,01/30/16,55-51,W,17-58,.293,7-24,.292,14-22,.636,13,23,36,33.0,17,12,11,2,13,55,55.0,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5565,2015-16
vs Lehigh,02/03/16,68-76,L,25-71,.352,2-16,.125,16-23,.696,14,18,32,33.0,24,9,6,3,12,68,55.6,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5566,2015-16
vs Army West Point,02/06/16,44-52,L,13-46,.283,3-13,.231,15-24,.625,10,20,30,32.8,20,10,13,3,8,44,55.1,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5567,2015-16
at Navy,02/10/16,38-45,L,16-47,.340,2-15,.133,4-4,1.000,7,32,39,33.1,18,7,16,3,5,38,54.3,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5568,2015-16
at Boston University,02/13/16,67-46,W,24-48,.500,6-12,.500,13-22,.591,7,25,32,33.0,15,7,16,0,9,67,54.9,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5569,2015-16
vs Bucknell,02/17/16,42-64,L,18-62,.290,3-15,.200,3-12,.250,9,19,28,32.8,15,11,9,2,8,42,54.4,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5570,2015-16
vs Colgate,02/21/16,55-38,W,21-59,.356,5-20,.250,8-16,.500,13,29,42,33.2,14,16,18,2,11,55,54.4,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5571,2015-16
at Holy Cross,02/24/16,59-49,W,21-52,.404,10-24,.417,7-10,.700,10,24,34,33.2,15,12,14,2,9,59,54.6,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5572,2015-16
at American,02/27/16,55-50,W,17-51,.333,5-12,.417,16-18,.889,11,21,32,33.2,15,6,16,1,10,55,54.6,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5573,2015-16
vs Holy Cross,03/02/16,58-45,W,20-50,.400,3-19,.158,15-21,.714,6,27,33,33.2,12,15,11,2,10,58,54.7,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5574,2015-16
vs Navy,03/07/16,44-42,W,18-46,.391,3-11,.273,5-12,.417,9,19,28,33.0,17,11,11,1,8,44,54.3,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5575,2015-16
at Bucknell,03/11/16,65-53,W,20-43,.465,7-13,.538,18-25,.720,4,28,32,33.0,18,11,9,1,6,65,54.7,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5576,2015-16
at Army West Point,03/12/16,51-69,L,18-51,.353,4-15,.267,11-19,.579,12,21,33,33.0,17,6,13,2,4,51,54.6,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5577,2015-16
at UMBC,11/16/14,58-81,L,20-61,.328,6-20,.300,12-17,.706,12,22,34,34.0,21,15,15,3,8,58,58.0,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5517,2014-15
at Georgetown,11/19/14,44-71,L,13-61,.213,4-23,.174,14-26,.538,21,19,40,37.0,20,4,17,2,6,44,51.0,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5518,2014-15
at Maryland,11/24/14,43-65,L,16-55,.291,6-15,.400,5-6,.833,12,21,33,35.7,13,9,20,2,10,43,48.3,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5519,2014-15
at PITT,11/30/14,46-84,L,18-62,.290,5-15,.333,5-10,.500,15,19,34,35.3,10,14,13,3,6,46,47.8,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5520,2014-15
vs Towson,12/04/14,50-63,L,18-61,.295,8-21,.381,6-11,.545,17,28,45,37.2,18,13,17,3,5,50,48.2,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5521,2014-15
vs Mount St. Mary's,12/06/14,56-49,W,19-43,.442,6-18,.333,12-21,.571,10,21,31,36.2,20,8,27,1,12,56,49.5,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5522,2014-15
vs East Carolina,12/09/14,33-82,L,10-53,.189,0-12,.000,13-25,.520,15,22,37,36.3,17,6,25,4,11,33,47.1,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5523,2014-15
vs Saint Peter's,12/20/14,59-49,W,20-55,.364,3-16,.188,16-24,.667,8,24,32,35.8,15,6,13,2,12,59,48.6,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5524,2014-15
vs Cornell,12/22/14,61-79,L,22-49,.449,5-22,.227,12-17,.706,6,22,28,34.9,20,8,23,3,7,61,50.0,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5525,2014-15
vs George Washington,12/28/14,49-72,L,17-48,.354,2-14,.143,13-23,.565,6,15,21,33.5,17,6,23,5,10,49,49.9,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5526,2014-15
vs Navy,12/31/14,55-49,W,15-43,.349,6-15,.400,19-29,.655,7,25,32,33.4,14,10,19,3,10,55,50.4,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5527,2014-15
at Army,01/03/15,44-55,L,15-41,.366,4-14,.286,10-15,.667,9,25,34,33.4,16,5,17,2,4,44,49.8,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5528,2014-15
at American,01/07/15,50-62,L,18-46,.391,3-12,.250,11-18,.611,3,18,21,32.5,15,5,14,0,6,50,49.8,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5529,2014-15
vs Lehigh,01/10/15,64-52,W,23-58,.397,7-20,.350,11-12,.917,6,27,33,32.5,18,15,15,2,9,64,50.9,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5530,2014-15
vs Lafayette,01/14/15,49-57,L,21-52,.404,6-20,.300,1-3,.333,3,24,27,32.1,19,13,15,3,6,49,50.7,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5531,2014-15
at Boston University,01/17/15,63-53,W,20-54,.370,6-21,.286,17-22,.773,9,26,35,32.3,14,10,10,2,7,63,51.5,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5532,2014-15
at Bucknell,01/21/15,49-66,L,16-62,.258,2-14,.143,15-18,.833,10,21,31,32.2,20,7,9,3,12,49,51.4,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5533,2014-15
vs Colgate,01/24/15,45-72,L,15-51,.294,2-14,.143,13-23,.565,11,17,28,32.0,22,7,13,3,6,45,51.0,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5534,2014-15
at Holy Cross,01/29/15,57-51,W,21-50,.420,7-18,.389,8-14,.571,9,30,39,32.4,15,16,19,4,8,57,51.3,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5535,2014-15
vs Army,01/31/15,53-62,L,20-60,.333,6-22,.273,7-11,.636,12,21,33,32.4,20,8,10,1,3,53,51.4,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5536,2014-15
vs American,02/04/15,44-55,L,17-65,.262,3-18,.167,7-13,.538,14,21,35,32.5,15,8,13,1,11,44,51.0,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5537,2014-15
vs American,02/04/15,44-55,L,17-65,.262,3-18,.167,7-13,.538,14,21,35,32.6,15,8,13,1,11,44,50.7,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5540,2014-15
at Lehigh,02/07/15,61-75,L,22-67,.328,5-22,.227,12-14,.857,13,20,33,32.7,22,17,17,3,13,61,51.2,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5538,2014-15
at Lafayette,02/11/15,63-69,L,23-67,.343,8-26,.308,9-15,.600,14,24,38,32.9,18,11,16,3,10,63,51.7,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5539,2014-15
vs Bucknell,02/18/15,61-72,L,24-68,.353,5-24,.208,8-11,.727,14,18,32,32.8,25,12,12,6,11,61,52.0,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5541,2014-15
at Colgate,02/21/15,53-54,L,17-52,.327,5-15,.333,14-17,.824,12,20,32,32.8,13,6,19,5,17,53,52.1,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5542,2014-15
vs Holy Cross,02/25/15,37-65,L,13-59,.220,2-17,.118,9-18,.500,16,17,33,32.8,22,5,17,1,10,37,51.5,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5543,2014-15
at Navy,02/28/15,50-59,L,17-54,.315,4-15,.267,12-17,.706,18,26,44,33.2,18,11,17,1,7,50,51.5,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5544,2014-15
at Lafayette,03/04/15,46-58,L,16-63,.254,5-29,.172,9-9,1.000,14,21,35,33.3,13,4,9,0,8,46,51.3,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5545,2014-15
at Maryland,12/08/15,47-97,L,19-58,.328,8-28,.286,1-1,1.000,9,18,27,33.1,18,12,21,0,6,47,51.1,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5516,2014-15
at Maryland,11/10/13,53-89,L,18-51,.353,6-21,.286,11-16,.688,6,21,27,27.0,28,10,23,0,8,53,53.0,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5486,2013-14
vs Hartford,11/14/13,53-59,L,15-54,.278,3-12,.250,20-26,.769,16,26,42,34.5,25,7,18,0,7,53,53.0,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5487,2013-14
at East Carolina,11/17/13,47-68,L,15-47,.319,6-18,.333,11-18,.611,8,22,30,33.0,17,10,23,6,12,47,51.0,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5488,2013-14
vs Howard,11/20/13,72-62,W,22-49,.449,7-15,.467,21-28,.750,11,19,30,32.3,21,15,23,2,11,72,56.3,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5489,2013-14
vs Pittsburgh,11/23/13,54-60,L,18-58,.310,6-21,.286,12-15,.800,13,24,37,33.2,18,10,14,0,3,54,55.8,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5490,2013-14
at Cornell,11/26/13,53-57,L,21-53,.396,9-23,.391,2-4,.500,9,21,30,32.7,19,15,19,1,8,53,55.3,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5491,2013-14
at Saint Peter's University,12/01/13,66-65,W,22-50,.440,4-14,.286,18-25,.720,4,26,30,32.3,20,8,13,5,8,66,56.9,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5492,2013-14
at Mount St. Mary's,12/07/13,59-65,L,21-55,.382,8-14,.571,9-18,.500,15,18,33,32.4,20,13,13,1,7,59,57.1,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5493,2013-14
at George Washington,12/09/13,50-56,L,18-49,.367,4-18,.222,10-17,.588,7,26,33,32.4,18,7,24,2,9,50,56.3,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5494,2013-14
vs UMBC,12/21/13,56-49,W,17-54,.315,2-12,.167,20-34,.588,11,32,43,33.5,14,12,10,8,7,56,56.3,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5495,2013-14
at Towson,12/28/13,46-67,L,20-57,.351,1-19,.053,5-7,.714,12,22,34,33.5,16,8,21,2,10,46,55.4,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5496,2013-14
at Navy,01/02/14,44-67,L,17-48,.354,2-7,.286,8-10,.800,5,18,23,32.7,13,9,10,3,4,44,54.4,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5497,2013-14
vs ARMY,01/05/14,62-66,L (OT),21-52,.404,5-15,.333,15-22,.682,6,23,29,32.4,20,10,12,5,3,62,55.0,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5498,2013-14
vs AMERICAN,01/08/14,34-52,L,11-54,.204,2-13,.154,10-14,.714,13,29,42,33.1,11,4,16,3,5,34,53.5,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5499,2013-14
at Lehigh,01/11/14,70-64,W,24-50,.480,8-17,.471,14-17,.824,12,21,33,33.1,18,17,26,3,9,70,54.6,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5500,2013-14
at Lafayette,01/15/14,53-65,L,19-51,.373,5-12,.417,10-15,.667,10,20,30,32.9,16,11,15,1,9,53,54.5,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5501,2013-14
vs BOSTONU,01/19/14,60-70,L,23-54,.426,2-9,.222,12-17,.706,6,25,31,32.8,21,11,14,3,8,60,54.8,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5502,2013-14
vs BUCKNELL,01/22/14,60-67,L,24-52,.462,6-15,.400,6-10,.600,7,16,23,32.2,24,14,18,1,6,60,55.1,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5503,2013-14
at Colgate,01/25/14,61-54,W,24-57,.421,7-21,.333,6-10,.600,11,29,40,32.6,16,11,12,0,7,61,55.4,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5504,2013-14
vs HC,01/29/14,65-80,L,22-60,.367,2-14,.143,19-28,.679,10,17,27,32.4,20,11,7,3,6,65,55.9,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5505,2013-14
at Army,02/01/14,45-56,L (OT),10-32,.313,4-11,.364,21-27,.778,5,20,25,32.0,16,7,21,1,7,45,55.4,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5506,2013-14
at AMERICAN,02/05/14,38-63,L,11-36,.306,2-9,.222,14-20,.700,7,21,28,31.8,14,7,18,1,5,38,54.6,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5507,2013-14
vs LEHIGH,02/08/14,47-50,L,16-51,.314,2-5,.400,13-21,.619,6,26,32,31.8,21,8,12,3,7,47,54.3,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5508,2013-14
vs Lafayette,02/12/14,45-58,L,20-64,.313,3-8,.375,2-5,.400,9,20,29,31.7,18,12,13,3,11,45,53.9,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5509,2013-14
at Boston University,02/15/14,55-74,L,18-59,.305,4-18,.222,15-20,.750,9,28,37,31.9,16,9,6,2,6,55,53.9,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5510,2013-14
at Bucknell,02/19/14,49-70,L,18-54,.333,4-17,.235,9-10,.900,9,19,28,31.8,23,12,16,5,7,49,53.7,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5511,2013-14
vs COLGATE,02/23/14,65-67,L (OT),23-62,.371,4-15,.267,15-21,.714,12,31,43,32.2,20,13,19,1,6,65,54.1,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5512,2013-14
at Holy Cross,02/26/14,49-59,L,21-52,.404,3-10,.300,4-7,.571,5,21,26,32.0,15,11,21,4,10,49,54.0,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5513,2013-14
vs NAVY,03/01/14,50-74,L,18-53,.340,2-10,.200,12-16,.750,12,18,30,31.9,21,9,14,3,5,50,53.8,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5514,2013-14
at Boston University,03/04/14,35-40,L,13-62,.210,4-17,.235,5-10,.500,17,37,54,32.6,14,6,12,5,3,35,53.2,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5515,2013-14
at Hartford,11/09/12,50-64,L,18-49,.367,4-16,.250,10-16,.625,16,22,38,38.0,13,5,28,2,13,50,50.0,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5456,2012-13
vs Maryland,11/11/12,45-88,L,14-54,.259,6-19,.316,11-14,.786,6,12,18,28.0,24,9,15,3,7,45,47.5,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5457,2012-13
at UMBC,11/17/12,68-55,W,25-57,.439,11-29,.379,7-11,.636,11,31,42,32.7,10,18,10,4,6,68,54.3,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5458,2012-13
at Navy,11/20/12,60-71,L,21-53,.396,6-19,.316,12-13,.923,3,29,32,32.5,19,11,11,4,5,60,55.8,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5459,2012-13
vs TOWSON,11/25/12,52-44,W,19-48,.396,7-17,.412,7-10,.700,8,25,33,32.6,19,11,15,2,5,52,55.0,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5460,2012-13
at Howard,11/28/12,37-40,L,13-50,.260,4-18,.222,7-10,.700,10,27,37,33.3,15,9,18,1,5,37,52.0,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5461,2012-13
vs AMERICAN,12/01/12,55-53,W,16-42,.381,5-13,.385,18-24,.750,7,22,29,32.7,12,4,27,2,11,55,52.4,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5462,2012-13
vs Lehigh,12/03/12,60-48,W,22-54,.407,7-19,.368,9-14,.643,7,30,37,33.3,14,13,12,7,9,60,53.4,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5463,2012-13
