team,opponent,##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,date,time,site,team_score,opponent_score
Loyola Maryland,Niagara,45,"45 Therien, Lex",*,35,5-12,0-0,6-7,3-17,20,1,1,7,2,2,16,11/07/22,7:00 PM,"Reitz Arena, Baltimore, MD",55,64
Loyola Maryland,Niagara,10,"10 Sims, Koi",*,28,7-11,0-0,1-3,4-3,7,3,0,1,1,0,15,11/07/22,7:00 PM,"Reitz Arena, Baltimore, MD",55,64
Loyola Maryland,Niagara,04,"04 Dixon, Taleah",*,28,2-9,1-3,2-4,0-4,4,1,2,2,0,2,7,11/07/22,7:00 PM,"Reitz Arena, Baltimore, MD",55,64
Loyola Maryland,Niagara,22,"22 Rozzi, Bri",*,21,2-2,0-0,2-2,0-1,1,4,2,5,0,0,6,11/07/22,7:00 PM,"Reitz Arena, Baltimore, MD",55,64
Loyola Maryland,Niagara,13,"13 Tañedo, Caramina",*,27,0-5,0-3,0-0,1-0,1,0,1,2,0,0,0,11/07/22,7:00 PM,"Reitz Arena, Baltimore, MD",55,64
Loyola Maryland,Niagara,02,"02 Van-Otoo, Meliah",,20,3-6,0-1,0-2,1-1,2,3,2,5,0,0,6,11/07/22,7:00 PM,"Reitz Arena, Baltimore, MD",55,64
Loyola Maryland,Niagara,01,"01 Ratigan, Kelly",,16,0-2,0-2,2-2,0-0,0,1,2,7,0,1,2,11/07/22,7:00 PM,"Reitz Arena, Baltimore, MD",55,64
Loyola Maryland,Niagara,11,"11 Glezen, Emma",,15,1-1,0-0,0-0,0-0,0,2,1,1,1,0,2,11/07/22,7:00 PM,"Reitz Arena, Baltimore, MD",55,64
Loyola Maryland,Niagara,35,"35 Therien, Ava",,2,0-0,0-0,1-2,0-0,0,1,0,0,0,0,1,11/07/22,7:00 PM,"Reitz Arena, Baltimore, MD",55,64
Loyola Maryland,Niagara,12,"12 Garcia, Cristina",,8,0-2,0-1,0-0,0-0,0,1,1,2,0,0,0,11/07/22,7:00 PM,"Reitz Arena, Baltimore, MD",55,64
Loyola Maryland,Niagara,TM,TM TEAM,,0,0-0,0-0,0-0,3-5,8,0,0,1,0,0,0,11/07/22,7:00 PM,"Reitz Arena, Baltimore, MD",55,64
Loyola Maryland,Morgan State,45,"45 Therien, Lex",*,35,10-15,0-0,0-2,1-12,13,2,1,6,0,3,20,11/10/22,5:30 PM,"Baltimore, Md. (Hill Field House)",50,59
Loyola Maryland,Morgan State,04,"04 Dixon, Taleah",*,35,4-11,1-5,4-4,0-3,3,2,1,6,0,0,13,11/10/22,5:30 PM,"Baltimore, Md. (Hill Field House)",50,59
Loyola Maryland,Morgan State,10,"10 Sims, Koi",*,35,2-6,0-0,1-2,5-10,15,3,3,3,2,1,5,11/10/22,5:30 PM,"Baltimore, Md. (Hill Field House)",50,59
Loyola Maryland,Morgan State,02,"02 Van-Otoo, Meliah",*,25,1-4,0-1,1-2,0-2,2,4,4,4,0,1,3,11/10/22,5:30 PM,"Baltimore, Md. (Hill Field House)",50,59
Loyola Maryland,Morgan State,22,"22 Rozzi, Bri",*,10,0-2,0-0,0-0,0-2,2,1,0,2,0,0,0,11/10/22,5:30 PM,"Baltimore, Md. (Hill Field House)",50,59
Loyola Maryland,Morgan State,01,"01 Ratigan, Kelly",,19,2-5,2-4,0-0,1-0,1,0,1,1,0,0,6,11/10/22,5:30 PM,"Baltimore, Md. (Hill Field House)",50,59
Loyola Maryland,Morgan State,13,"13 Tañedo, Caramina",,23,1-3,1-3,0-0,0-2,2,1,0,2,0,0,3,11/10/22,5:30 PM,"Baltimore, Md. (Hill Field House)",50,59
Loyola Maryland,Morgan State,12,"12 Garcia, Cristina",,9,0-2,0-2,0-0,0-1,1,1,0,2,0,0,0,11/10/22,5:30 PM,"Baltimore, Md. (Hill Field House)",50,59
Loyola Maryland,Morgan State,11,"11 Glezen, Emma",,7,0-0,0-0,0-0,0-0,0,2,0,1,0,0,0,11/10/22,5:30 PM,"Baltimore, Md. (Hill Field House)",50,59
Loyola Maryland,Morgan State,35,"35 Therien, Ava",,2,0-1,0-0,0-0,0-0,0,0,1,0,0,0,0,11/10/22,5:30 PM,"Baltimore, Md. (Hill Field House)",50,59
Loyola Maryland,Morgan State,TM,TM TEAM,,0,0-0,0-0,0-0,2-5,7,0,0,0,0,0,0,11/10/22,5:30 PM,"Baltimore, Md. (Hill Field House)",50,59
Loyola Maryland,UMBC,45,"45 Therien, Lex",*,38,7-14,0-0,3-5,2-9,11,3,1,3,0,2,17,11/13/22,12:00 PM,"Reitz Arena, Baltimore, MD",61,47
Loyola Maryland,UMBC,04,"04 Dixon, Taleah",*,30,4-10,1-3,2-2,3-7,10,2,2,3,0,1,11,11/13/22,12:00 PM,"Reitz Arena, Baltimore, MD",61,47
Loyola Maryland,UMBC,22,"22 Rozzi, Bri",*,38,3-7,1-3,3-4,0-4,4,1,3,3,0,0,10,11/13/22,12:00 PM,"Reitz Arena, Baltimore, MD",61,47
Loyola Maryland,UMBC,10,"10 Sims, Koi",*,14,3-5,0-0,0-0,3-1,4,3,1,3,1,1,6,11/13/22,12:00 PM,"Reitz Arena, Baltimore, MD",61,47
Loyola Maryland,UMBC,02,"02 Van-Otoo, Meliah",*,16,0-3,0-1,0-0,0-1,1,1,1,0,0,1,0,11/13/22,12:00 PM,"Reitz Arena, Baltimore, MD",61,47
Loyola Maryland,UMBC,23,"23 Espinal, Marta",,12,3-3,1-1,0-0,0-0,0,3,1,0,1,0,7,11/13/22,12:00 PM,"Reitz Arena, Baltimore, MD",61,47
Loyola Maryland,UMBC,13,"13 Tañedo, Caramina",,28,1-5,0-2,3-5,0-1,1,0,1,3,0,0,5,11/13/22,12:00 PM,"Reitz Arena, Baltimore, MD",61,47
Loyola Maryland,UMBC,01,"01 Ratigan, Kelly",,14,1-4,1-4,0-0,0-2,2,1,0,0,0,1,3,11/13/22,12:00 PM,"Reitz Arena, Baltimore, MD",61,47
Loyola Maryland,UMBC,11,"11 Glezen, Emma",,7,0-0,0-0,2-2,0-0,0,4,0,1,0,0,2,11/13/22,12:00 PM,"Reitz Arena, Baltimore, MD",61,47
Loyola Maryland,UMBC,35,"35 Therien, Ava",,3,0-2,0-0,0-0,1-0,1,0,0,0,0,0,0,11/13/22,12:00 PM,"Reitz Arena, Baltimore, MD",61,47
Loyola Maryland,UMBC,TM,TM TEAM,,0,0-0,0-0,0-0,1-2,3,0,0,0,0,0,0,11/13/22,12:00 PM,"Reitz Arena, Baltimore, MD",61,47
Loyola Maryland,Monmouth,45,"45 Therien, Lex",*,36,7-14,0-1,5-6,0-9,9,2,0,1,0,3,19,11/16/22,7:00 PM,"Reitz Arena, Baltimore, MD",61,59
Loyola Maryland,Monmouth,04,"04 Dixon, Taleah",*,34,4-13,3-7,3-4,0-1,1,3,2,5,0,2,14,11/16/22,7:00 PM,"Reitz Arena, Baltimore, MD",61,59
Loyola Maryland,Monmouth,10,"10 Sims, Koi",*,31,5-12,0-0,0-3,6-3,9,0,3,0,0,1,10,11/16/22,7:00 PM,"Reitz Arena, Baltimore, MD",61,59
Loyola Maryland,Monmouth,22,"22 Rozzi, Bri",*,35,1-7,1-4,0-0,1-0,1,3,3,2,0,1,3,11/16/22,7:00 PM,"Reitz Arena, Baltimore, MD",61,59
Loyola Maryland,Monmouth,02,"02 Van-Otoo, Meliah",*,6,0-1,0-0,0-0,0-0,0,0,0,1,0,0,0,11/16/22,7:00 PM,"Reitz Arena, Baltimore, MD",61,59
Loyola Maryland,Monmouth,13,"13 Tañedo, Caramina",,35,3-7,2-4,3-3,3-0,3,1,2,1,0,1,11,11/16/22,7:00 PM,"Reitz Arena, Baltimore, MD",61,59
Loyola Maryland,Monmouth,11,"11 Glezen, Emma",,8,0-0,0-0,2-2,2-0,2,0,1,0,0,1,2,11/16/22,7:00 PM,"Reitz Arena, Baltimore, MD",61,59
Loyola Maryland,Monmouth,12,"12 Garcia, Cristina",,8,1-1,0-0,0-0,1-0,1,2,0,0,0,0,2,11/16/22,7:00 PM,"Reitz Arena, Baltimore, MD",61,59
Loyola Maryland,Monmouth,01,"01 Ratigan, Kelly",,4,0-2,0-2,0-0,0-0,0,0,0,1,0,0,0,11/16/22,7:00 PM,"Reitz Arena, Baltimore, MD",61,59
Loyola Maryland,Monmouth,23,"23 Espinal, Marta",,3,0-0,0-0,0-0,0-1,1,0,0,1,0,0,0,11/16/22,7:00 PM,"Reitz Arena, Baltimore, MD",61,59
Loyola Maryland,Monmouth,TM,TM TEAM,,0,0-0,0-0,0-0,2-3,5,0,0,0,0,0,0,11/16/22,7:00 PM,"Reitz Arena, Baltimore, MD",61,59
Loyola Maryland,George Mason,04,"04 Dixon, Taleah",*,35,10-17,2-4,6-6,0-1,1,3,0,3,0,4,28,11/19/22,3:00 PM,"EagleBank Arena, Fairfax, VA",58,66
Loyola Maryland,George Mason,45,"45 Therien, Lex",*,30,5-13,0-1,3-3,4-4,8,4,1,2,0,1,13,11/19/22,3:00 PM,"EagleBank Arena, Fairfax, VA",58,66
Loyola Maryland,George Mason,22,"22 Rozzi, Bri",*,37,3-8,1-3,0-0,1-1,2,1,0,0,0,1,7,11/19/22,3:00 PM,"EagleBank Arena, Fairfax, VA",58,66
Loyola Maryland,George Mason,02,"02 Van-Otoo, Meliah",*,12,1-3,0-0,1-2,0-0,0,1,1,1,0,0,3,11/19/22,3:00 PM,"EagleBank Arena, Fairfax, VA",58,66
Loyola Maryland,George Mason,10,"10 Sims, Koi",*,24,1-5,0-0,0-0,2-5,7,5,1,3,1,1,2,11/19/22,3:00 PM,"EagleBank Arena, Fairfax, VA",58,66
Loyola Maryland,George Mason,12,"12 Garcia, Cristina",,6,0-0,0-0,3-4,0-0,0,3,0,0,0,0,3,11/19/22,3:00 PM,"EagleBank Arena, Fairfax, VA",58,66
Loyola Maryland,George Mason,23,"23 Espinal, Marta",,14,1-1,0-0,0-0,1-2,3,2,1,1,0,0,2,11/19/22,3:00 PM,"EagleBank Arena, Fairfax, VA",58,66
Loyola Maryland,George Mason,13,"13 Tañedo, Caramina",,26,0-3,0-1,0-0,1-2,3,0,1,0,0,0,0,11/19/22,3:00 PM,"EagleBank Arena, Fairfax, VA",58,66
Loyola Maryland,George Mason,11,"11 Glezen, Emma",,11,0-0,0-0,0-0,0-1,1,4,0,3,0,0,0,11/19/22,3:00 PM,"EagleBank Arena, Fairfax, VA",58,66
Loyola Maryland,George Mason,01,"01 Ratigan, Kelly",,5,0-1,0-1,0-0,0-0,0,0,0,0,0,0,0,11/19/22,3:00 PM,"EagleBank Arena, Fairfax, VA",58,66
Loyola Maryland,George Mason,TM,TM TEAM,,0,0-0,0-0,0-0,2-0,2,0,0,1,0,0,0,11/19/22,3:00 PM,"EagleBank Arena, Fairfax, VA",58,66
Loyola Maryland,Bryant,45,"45 Therien, Lex",*,22,5-11,0-1,6-8,4-6,10,4,0,2,0,1,16,11/21/22,6:00 PM,"Chace Athletic Center, Smithfield, RI",69,64
Loyola Maryland,Bryant,04,"04 Dixon, Taleah",*,34,4-14,2-6,4-6,0-0,0,1,1,1,0,2,14,11/21/22,6:00 PM,"Chace Athletic Center, Smithfield, RI",69,64
Loyola Maryland,Bryant,22,"22 Rozzi, Bri",*,31,4-11,2-7,4-4,0-0,0,2,5,0,0,1,14,11/21/22,6:00 PM,"Chace Athletic Center, Smithfield, RI",69,64
Loyola Maryland,Bryant,13,"13 Tañedo, Caramina",*,35,4-5,4-5,0-0,1-1,2,1,2,3,0,3,12,11/21/22,6:00 PM,"Chace Athletic Center, Smithfield, RI",69,64
Loyola Maryland,Bryant,10,"10 Sims, Koi",*,33,2-9,0-0,1-2,3-9,12,1,2,2,0,3,5,11/21/22,6:00 PM,"Chace Athletic Center, Smithfield, RI",69,64
Loyola Maryland,Bryant,01,"01 Ratigan, Kelly",,7,1-1,1-1,0-0,0-0,0,0,0,1,0,0,3,11/21/22,6:00 PM,"Chace Athletic Center, Smithfield, RI",69,64
Loyola Maryland,Bryant,11,"11 Glezen, Emma",,14,1-1,0-0,0-0,1-2,3,2,3,0,0,0,2,11/21/22,6:00 PM,"Chace Athletic Center, Smithfield, RI",69,64
Loyola Maryland,Bryant,23,"23 Espinal, Marta",,9,1-1,0-0,0-0,3-0,3,3,2,1,0,0,2,11/21/22,6:00 PM,"Chace Athletic Center, Smithfield, RI",69,64
Loyola Maryland,Bryant,12,"12 Garcia, Cristina",,14,0-2,0-0,1-5,0-1,1,0,0,0,0,0,1,11/21/22,6:00 PM,"Chace Athletic Center, Smithfield, RI",69,64
Loyola Maryland,Bryant,02,"02 Van-Otoo, Meliah",,1,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0,11/21/22,6:00 PM,"Chace Athletic Center, Smithfield, RI",69,64
Loyola Maryland,Bryant,TM,TM TEAM,,0,0-0,0-0,0-0,2-0,2,0,0,0,0,0,0,11/21/22,6:00 PM,"Chace Athletic Center, Smithfield, RI",69,64
Loyola Maryland,Delaware St.,04,"04 Dixon, Taleah",*,32,10-15,5-7,1-1,0-0,0,0,2,3,0,2,26,11/26/22,2:00 PM,"Reitz Arena, Baltimore, MD",60,51
Loyola Maryland,Delaware St.,22,"22 Rozzi, Bri",*,24,2-4,1-1,2-2,0-2,2,4,0,1,0,1,7,11/26/22,2:00 PM,"Reitz Arena, Baltimore, MD",60,51
Loyola Maryland,Delaware St.,45,"45 Therien, Lex",*,21,3-10,0-0,0-0,2-2,4,5,0,5,0,1,6,11/26/22,2:00 PM,"Reitz Arena, Baltimore, MD",60,51
Loyola Maryland,Delaware St.,10,"10 Sims, Koi",*,30,2-6,0-0,0-0,4-6,10,1,3,3,0,2,4,11/26/22,2:00 PM,"Reitz Arena, Baltimore, MD",60,51
Loyola Maryland,Delaware St.,13,"13 Tañedo, Caramina",*,19,0-3,0-2,0-0,0-2,2,0,0,1,0,0,0,11/26/22,2:00 PM,"Reitz Arena, Baltimore, MD",60,51
Loyola Maryland,Delaware St.,02,"02 Van-Otoo, Meliah",,19,3-5,0-1,1-2,0-2,2,2,3,2,1,4,7,11/26/22,2:00 PM,"Reitz Arena, Baltimore, MD",60,51
Loyola Maryland,Delaware St.,12,"12 Garcia, Cristina",,28,1-3,0-1,2-2,2-2,4,3,3,2,0,0,4,11/26/22,2:00 PM,"Reitz Arena, Baltimore, MD",60,51
Loyola Maryland,Delaware St.,11,"11 Glezen, Emma",,15,2-2,0-0,0-0,1-0,1,5,0,1,0,0,4,11/26/22,2:00 PM,"Reitz Arena, Baltimore, MD",60,51
Loyola Maryland,Delaware St.,23,"23 Espinal, Marta",,12,1-1,0-0,0-0,0-0,0,2,0,3,1,0,2,11/26/22,2:00 PM,"Reitz Arena, Baltimore, MD",60,51
Loyola Maryland,Delaware St.,TM,TM TEAM,,0,0-0,0-0,0-0,0-2,2,0,0,0,0,0,0,11/26/22,2:00 PM,"Reitz Arena, Baltimore, MD",60,51
Loyola Maryland,Toledo,45,"45 Therien, Lex",*,30,6-14,0-1,0-1,3-7,10,4,1,4,0,1,12,11/30/22,11:30 AM,"Reitz Arena, Baltimore, MD",40,62
Loyola Maryland,Toledo,22,"22 Rozzi, Bri",*,31,2-8,1-4,3-4,0-3,3,3,2,2,0,0,8,11/30/22,11:30 AM,"Reitz Arena, Baltimore, MD",40,62
Loyola Maryland,Toledo,10,"10 Sims, Koi",*,29,3-5,0-0,0-0,2-7,9,3,1,6,1,0,6,11/30/22,11:30 AM,"Reitz Arena, Baltimore, MD",40,62
Loyola Maryland,Toledo,13,"13 Tañedo, Caramina",*,30,1-5,1-3,0-0,0-2,2,1,0,2,0,0,3,11/30/22,11:30 AM,"Reitz Arena, Baltimore, MD",40,62
Loyola Maryland,Toledo,12,"12 Garcia, Cristina",*,22,1-6,0-1,1-2,3-1,4,2,2,1,0,2,3,11/30/22,11:30 AM,"Reitz Arena, Baltimore, MD",40,62
Loyola Maryland,Toledo,02,"02 Van-Otoo, Meliah",,22,1-3,0-1,3-4,0-0,0,2,0,2,0,0,5,11/30/22,11:30 AM,"Reitz Arena, Baltimore, MD",40,62
Loyola Maryland,Toledo,01,"01 Ratigan, Kelly",,17,1-5,1-3,0-0,0-2,2,1,1,2,0,0,3,11/30/22,11:30 AM,"Reitz Arena, Baltimore, MD",40,62
Loyola Maryland,Toledo,23,"23 Espinal, Marta",,10,0-0,0-0,0-0,0-1,1,0,0,0,0,0,0,11/30/22,11:30 AM,"Reitz Arena, Baltimore, MD",40,62
Loyola Maryland,Toledo,11,"11 Glezen, Emma",,9,0-0,0-0,0-0,0-0,0,3,0,1,0,0,0,11/30/22,11:30 AM,"Reitz Arena, Baltimore, MD",40,62
Loyola Maryland,Toledo,TM,TM TEAM,,0,0-0,0-0,0-0,1-1,2,0,0,2,0,0,0,11/30/22,11:30 AM,"Reitz Arena, Baltimore, MD",40,62
Loyola Maryland,Mount St. Mary's,04,"04 Dixon, Taleah",*,34,7-12,3-4,1-2,0-0,0,3,4,3,0,1,18,12/03/22,1:00 PM,"Knott Arena, Emmitsburg, MD",66,73
Loyola Maryland,Mount St. Mary's,45,"45 Therien, Lex",*,35,8-14,0-0,0-0,3-7,10,0,3,4,1,1,16,12/03/22,1:00 PM,"Knott Arena, Emmitsburg, MD",66,73
Loyola Maryland,Mount St. Mary's,22,"22 Rozzi, Bri",*,32,5-10,2-6,0-0,0-3,3,4,4,6,0,0,12,12/03/22,1:00 PM,"Knott Arena, Emmitsburg, MD",66,73
Loyola Maryland,Mount St. Mary's,10,"10 Sims, Koi",*,29,4-7,0-0,3-5,4-3,7,0,3,3,0,0,11,12/03/22,1:00 PM,"Knott Arena, Emmitsburg, MD",66,73
Loyola Maryland,Mount St. Mary's,13,"13 Tañedo, Caramina",*,32,2-3,2-3,0-0,0-2,2,2,1,1,0,1,6,12/03/22,1:00 PM,"Knott Arena, Emmitsburg, MD",66,73
Loyola Maryland,Mount St. Mary's,02,"02 Van-Otoo, Meliah",,20,1-1,0-0,1-2,0-1,1,3,2,3,0,1,3,12/03/22,1:00 PM,"Knott Arena, Emmitsburg, MD",66,73
Loyola Maryland,Mount St. Mary's,01,"01 Ratigan, Kelly",,5,0-1,0-0,0-0,0-0,0,0,0,1,0,0,0,12/03/22,1:00 PM,"Knott Arena, Emmitsburg, MD",66,73
Loyola Maryland,Mount St. Mary's,11,"11 Glezen, Emma",,5,0-2,0-0,0-0,0-0,0,0,0,1,0,0,0,12/03/22,1:00 PM,"Knott Arena, Emmitsburg, MD",66,73
Loyola Maryland,Mount St. Mary's,23,"23 Espinal, Marta",,5,0-0,0-0,0-0,0-1,1,2,0,0,0,0,0,12/03/22,1:00 PM,"Knott Arena, Emmitsburg, MD",66,73
Loyola Maryland,Mount St. Mary's,12,"12 Garcia, Cristina",,3,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,12/03/22,1:00 PM,"Knott Arena, Emmitsburg, MD",66,73
Loyola Maryland,Mount St. Mary's,TM,TM TEAM,,0,0-0,0-0,0-0,2-4,6,0,0,1,0,0,0,12/03/22,1:00 PM,"Knott Arena, Emmitsburg, MD",66,73
Loyola Maryland,Pittsburgh,04,"04 Dixon, Taleah",*,25,3-17,3-10,7-8,1-1,2,2,1,4,0,3,16,12/07/22,6:00 PM,"Petersen Events Center, Pittsburgh, PA",42,78
Loyola Maryland,Pittsburgh,01,"01 Ratigan, Kelly",*,30,2-13,2-9,2-2,0-1,1,1,0,3,0,1,8,12/07/22,6:00 PM,"Petersen Events Center, Pittsburgh, PA",42,78
Loyola Maryland,Pittsburgh,45,"45 Therien, Lex",*,25,2-9,0-0,3-4,4-4,8,4,0,3,0,1,7,12/07/22,6:00 PM,"Petersen Events Center, Pittsburgh, PA",42,78
Loyola Maryland,Pittsburgh,10,"10 Sims, Koi",*,26,2-6,0-0,1-2,5-5,10,0,1,2,1,2,5,12/07/22,6:00 PM,"Petersen Events Center, Pittsburgh, PA",42,78
Loyola Maryland,Pittsburgh,22,"22 Rozzi, Bri",*,17,0-3,0-1,0-0,0-1,1,1,1,1,0,0,0,12/07/22,6:00 PM,"Petersen Events Center, Pittsburgh, PA",42,78
Loyola Maryland,Pittsburgh,02,"02 Van-Otoo, Meliah",,15,1-2,1-1,1-2,3-1,4,1,1,4,0,1,4,12/07/22,6:00 PM,"Petersen Events Center, Pittsburgh, PA",42,78
Loyola Maryland,Pittsburgh,12,"12 Garcia, Cristina",,18,0-3,0-0,1-2,3-0,3,3,0,1,0,1,1,12/07/22,6:00 PM,"Petersen Events Center, Pittsburgh, PA",42,78
Loyola Maryland,Pittsburgh,35,"35 Therien, Ava",,5,0-0,0-0,1-2,1-0,1,0,0,1,0,0,1,12/07/22,6:00 PM,"Petersen Events Center, Pittsburgh, PA",42,78
Loyola Maryland,Pittsburgh,23,"23 Espinal, Marta",,21,0-1,0-0,0-0,0-3,3,1,3,2,0,1,0,12/07/22,6:00 PM,"Petersen Events Center, Pittsburgh, PA",42,78
Loyola Maryland,Pittsburgh,13,"13 Tañedo, Caramina",,16,0-2,0-2,0-0,2-1,3,2,1,0,0,1,0,12/07/22,6:00 PM,"Petersen Events Center, Pittsburgh, PA",42,78
Loyola Maryland,Pittsburgh,21,"21 Orza, Caroline",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,12/07/22,6:00 PM,"Petersen Events Center, Pittsburgh, PA",42,78
Loyola Maryland,Pittsburgh,TM,TM TEAM,,0,0-0,0-0,0-0,2-1,3,0,0,2,0,0,0,12/07/22,6:00 PM,"Petersen Events Center, Pittsburgh, PA",42,78
Loyola Maryland,Hofstra,04,"04 Dixon, Taleah",*,41,5-18,3-6,8-8,0-3,3,4,2,1,0,1,21,12/10/22,2:00 PM,"Reitz Arena, Baltimore, MD",62,61
